"StateFIPS","State","Year","Value","Data Comment",
"01","Alabama","1991","4,202","",
"01","Alabama","1992","4,275","",
"01","Alabama","1993","4,446","",
"01","Alabama","1994","4,338","",
"01","Alabama","1995","4,498","",
"01","Alabama","1996","4,467","",
"01","Alabama","1997","4,363","",
"01","Alabama","1998","4,519","",
"01","Alabama","1999","4,661","",
"01","Alabama","2000","4,694","",
"01","Alabama","2001","4,551","",
"01","Alabama","2002","4,453","",
"01","Alabama","2003","4,405","",
"01","Alabama","2004","4,524","",
"01","Alabama","2005","4,584","",
"01","Alabama","2006","4,753","",
"01","Alabama","2007","4,755","",
"01","Alabama","2008","4,605","",
"01","Alabama","2009","4,281","",
"01","Alabama","2010","4,682","",
"01","Alabama","2011","4,621","",
"01","Alabama","2012","4,660","",
"04","Arizona","1991","5,356","",
"04","Arizona","1992","5,128","",
"04","Arizona","1993","5,374","",
"04","Arizona","1994","5,344","",
"04","Arizona","1995","5,419","",
"04","Arizona","1996","5,383","",
"04","Arizona","1997","5,200","",
"04","Arizona","1998","5,312","",
"04","Arizona","1999","5,776","",
"04","Arizona","2000","5,710","",
"04","Arizona","2001","5,652","",
"04","Arizona","2002","5,785","",
"04","Arizona","2003","5,697","",
"04","Arizona","2004","5,690","",
"04","Arizona","2005","5,683","",
"04","Arizona","2006","5,619","",
"04","Arizona","2007","5,702","",
"04","Arizona","2008","5,747","",
"04","Arizona","2009","5,669","",
"04","Arizona","2010","5,701","",
"04","Arizona","2011","5,796","",
"04","Arizona","2012","5,755","",
"05","Arkansas","1991","4,235","",
"05","Arkansas","1992","4,212","",
"05","Arkansas","1993","4,276","",
"05","Arkansas","1994","4,312","",
"05","Arkansas","1995","4,446","",
"05","Arkansas","1996","4,366","",
"05","Arkansas","1997","4,370","",
"05","Arkansas","1998","4,498","",
"05","Arkansas","1999","4,592","",
"05","Arkansas","2000","4,453","",
"05","Arkansas","2001","4,496","",
"05","Arkansas","2002","4,348","",
"05","Arkansas","2003","4,378","",
"05","Arkansas","2004","4,384","",
"05","Arkansas","2005","4,677","",
"05","Arkansas","2006","4,583","",
"05","Arkansas","2007","4,439","",
"05","Arkansas","2008","4,392","",
"05","Arkansas","2009","4,169","",
"05","Arkansas","2010","4,545","",
"05","Arkansas","2011","4,424","",
"05","Arkansas","2012","4,724","",
"06","California","1991","4,670","",
"06","California","1992","4,488","",
"06","California","1993","4,613","",
"06","California","1994","4,678","",
"06","California","1995","4,556","",
"06","California","1996","4,660","",
"06","California","1997","4,708","",
"06","California","1998","4,479","",
"06","California","1999","5,107","",
"06","California","2000","4,996","",
"06","California","2001","5,081","",
"06","California","2002","5,178","",
"06","California","2003","5,008","",
"06","California","2004","5,184","",
"06","California","2005","4,977","",
"06","California","2006","4,919","",
"06","California","2007","5,194","",
"06","California","2008","5,179","",
"06","California","2009","5,091","",
"06","California","2010","4,908","",
"06","California","2011","5,019","",
"06","California","2012","5,050","",
"08","Colorado","1991","4,574","",
"08","Colorado","1992","4,405","",
"08","Colorado","1993","4,528","",
"08","Colorado","1994","4,646","",
"08","Colorado","1995","4,576","",
"08","Colorado","1996","4,612","",
"08","Colorado","1997","4,567","",
"08","Colorado","1998","4,654","",
"08","Colorado","1999","4,833","",
"08","Colorado","2000","4,865","",
"08","Colorado","2001","4,820","",
"08","Colorado","2002","5,003","",
"08","Colorado","2003","4,873","",
"08","Colorado","2004","4,852","",
"08","Colorado","2005","4,859","",
"08","Colorado","2006","4,814","",
"08","Colorado","2007","4,814","",
"08","Colorado","2008","4,841","",
"08","Colorado","2009","4,715","",
"08","Colorado","2010","4,874","",
"08","Colorado","2011","4,842","",
"08","Colorado","2012","4,960","",
"09","Connecticut","1991","3,770","",
"09","Connecticut","1992","3,562","",
"09","Connecticut","1993","3,740","",
"09","Connecticut","1994","3,729","",
"09","Connecticut","1995","3,751","",
"09","Connecticut","1996","3,557","",
"09","Connecticut","1997","3,775","",
"09","Connecticut","1998","3,718","",
"09","Connecticut","1999","3,973","",
"09","Connecticut","2000","3,746","",
"09","Connecticut","2001","4,062","",
"09","Connecticut","2002","3,961","",
"09","Connecticut","2003","3,681","",
"09","Connecticut","2004","3,845","",
"09","Connecticut","2005","3,956","",
"09","Connecticut","2006","3,810","",
"09","Connecticut","2007","4,064","",
"09","Connecticut","2008","3,938","",
"09","Connecticut","2009","3,684","",
"09","Connecticut","2010","3,883","",
"09","Connecticut","2011","3,715","",
"09","Connecticut","2012","3,988","",
"10","Delaware","1991","3,972","",
"10","Delaware","1992","3,711","",
"10","Delaware","1993","3,956","",
"10","Delaware","1994","4,019","",
"10","Delaware","1995","3,987","",
"10","Delaware","1996","3,880","",
"10","Delaware","1997","4,062","",
"10","Delaware","1998","3,986","",
"10","Delaware","1999","4,177","",
"10","Delaware","2000","4,079","",
"10","Delaware","2001","4,300","",
"10","Delaware","2002","4,276","",
"10","Delaware","2003","3,835","",
"10","Delaware","2004","4,076","",
"10","Delaware","2005","4,174","",
"10","Delaware","2006","4,231","",
"10","Delaware","2007","4,297","",
"10","Delaware","2008","4,163","",
"10","Delaware","2009","3,878","",
"10","Delaware","2010","4,231","",
"10","Delaware","2011","4,076","",
"10","Delaware","2012","4,232","",
"11","District of Columbia","1991","3,947","",
"11","District of Columbia","1992","3,686","",
"11","District of Columbia","1993","3,950","",
"11","District of Columbia","1994","4,038","",
"11","District of Columbia","1995","4,003","",
"11","District of Columbia","1996","3,923","",
"11","District of Columbia","1997","4,115","",
"11","District of Columbia","1998","4,026","",
"11","District of Columbia","1999","4,231","",
"11","District of Columbia","2000","4,075","",
"11","District of Columbia","2001","4,323","",
"11","District of Columbia","2002","4,236","",
"11","District of Columbia","2003","3,896","",
"11","District of Columbia","2004","4,087","",
"11","District of Columbia","2005","4,192","",
"11","District of Columbia","2006","4,258","",
"11","District of Columbia","2007","4,323","",
"11","District of Columbia","2008","4,169","",
"11","District of Columbia","2009","3,917","",
"11","District of Columbia","2010","4,258","",
"11","District of Columbia","2011","4,002","",
"11","District of Columbia","2012","4,307","",
"12","Florida","1991","4,588","",
"12","Florida","1992","4,588","",
"12","Florida","1993","4,734","",
"12","Florida","1994","4,598","",
"12","Florida","1995","4,753","",
"12","Florida","1996","4,733","",
"12","Florida","1997","4,474","",
"12","Florida","1998","4,709","",
"12","Florida","1999","4,914","",
"12","Florida","2000","5,035","",
"12","Florida","2001","4,849","",
"12","Florida","2002","4,819","",
"12","Florida","2003","4,721","",
"12","Florida","2004","4,914","",
"12","Florida","2005","4,831","",
"12","Florida","2006","5,039","",
"12","Florida","2007","4,941","",
"12","Florida","2008","4,849","",
"12","Florida","2009","4,792","",
"12","Florida","2010","4,934","",
"12","Florida","2011","5,003","",
"12","Florida","2012","4,859","",
"13","Georgia","1991","4,196","",
"13","Georgia","1992","4,209","",
"13","Georgia","1993","4,487","",
"13","Georgia","1994","4,343","",
"13","Georgia","1995","4,468","",
"13","Georgia","1996","4,525","",
"13","Georgia","1997","4,321","",
"13","Georgia","1998","4,539","",
"13","Georgia","1999","4,683","",
"13","Georgia","2000","4,739","",
"13","Georgia","2001","4,650","",
"13","Georgia","2002","4,551","",
"13","Georgia","2003","4,432","",
"13","Georgia","2004","4,634","",
"13","Georgia","2005","4,598","",
"13","Georgia","2006","4,764","",
"13","Georgia","2007","4,780","",
"13","Georgia","2008","4,685","",
"13","Georgia","2009","4,367","",
"13","Georgia","2010","4,773","",
"13","Georgia","2011","4,802","",
"13","Georgia","2012","4,661","",
"16","Idaho","1991","4,114","",
"16","Idaho","1992","4,075","",
"16","Idaho","1993","4,085","",
"16","Idaho","1994","4,255","",
"16","Idaho","1995","4,111","",
"16","Idaho","1996","4,163","",
"16","Idaho","1997","4,174","",
"16","Idaho","1998","4,141","",
"16","Idaho","1999","4,382","",
"16","Idaho","2000","4,407","",
"16","Idaho","2001","4,397","",
"16","Idaho","2002","4,420","",
"16","Idaho","2003","4,418","",
"16","Idaho","2004","4,386","",
"16","Idaho","2005","4,327","",
"16","Idaho","2006","4,371","",
"16","Idaho","2007","4,415","",
"16","Idaho","2008","4,329","",
"16","Idaho","2009","4,281","",
"16","Idaho","2010","4,184","",
"16","Idaho","2011","4,237","",
"16","Idaho","2012","4,251","",
"17","Illinois","1991","3,912","",
"17","Illinois","1992","3,750","",
"17","Illinois","1993","3,712","",
"17","Illinois","1994","4,006","",
"17","Illinois","1995","3,960","",
"17","Illinois","1996","3,791","",
"17","Illinois","1997","3,843","",
"17","Illinois","1998","3,921","",
"17","Illinois","1999","4,202","",
"17","Illinois","2000","3,983","",
"17","Illinois","2001","4,166","",
"17","Illinois","2002","4,136","",
"17","Illinois","2003","4,129","",
"17","Illinois","2004","4,128","",
"17","Illinois","2005","4,253","",
"17","Illinois","2006","3,992","",
"17","Illinois","2007","4,213","",
"17","Illinois","2008","3,988","",
"17","Illinois","2009","3,855","",
"17","Illinois","2010","4,100","",
"17","Illinois","2011","3,893","",
"17","Illinois","2012","4,380","",
"18","Indiana","1991","3,797","",
"18","Indiana","1992","3,545","",
"18","Indiana","1993","3,612","",
"18","Indiana","1994","3,906","",
"18","Indiana","1995","3,860","",
"18","Indiana","1996","3,744","",
"18","Indiana","1997","3,637","",
"18","Indiana","1998","3,836","",
"18","Indiana","1999","4,179","",
"18","Indiana","2000","3,944","",
"18","Indiana","2001","4,080","",
"18","Indiana","2002","4,035","",
"18","Indiana","2003","3,984","",
"18","Indiana","2004","4,024","",
"18","Indiana","2005","4,086","",
"18","Indiana","2006","3,921","",
"18","Indiana","2007","4,134","",
"18","Indiana","2008","4,000","",
"18","Indiana","2009","3,769","",
"18","Indiana","2010","4,055","",
"18","Indiana","2011","3,776","",
"18","Indiana","2012","4,318","",
"19","Iowa","1991","3,834","",
"19","Iowa","1992","3,719","",
"19","Iowa","1993","3,601","",
"19","Iowa","1994","3,964","",
"19","Iowa","1995","3,815","",
"19","Iowa","1996","3,796","",
"19","Iowa","1997","4,062","",
"19","Iowa","1998","3,863","",
"19","Iowa","1999","4,081","",
"19","Iowa","2000","3,923","",
"19","Iowa","2001","3,926","",
"19","Iowa","2002","4,148","",
"19","Iowa","2003","4,120","",
"19","Iowa","2004","4,081","",
"19","Iowa","2005","4,120","",
"19","Iowa","2006","3,939","",
"19","Iowa","2007","4,047","",
"19","Iowa","2008","3,879","",
"19","Iowa","2009","3,830","",
"19","Iowa","2010","3,875","",
"19","Iowa","2011","3,806","",
"19","Iowa","2012","4,331","",
"20","Kansas","1991","4,384","",
"20","Kansas","1992","4,205","",
"20","Kansas","1993","4,215","",
"20","Kansas","1994","4,507","",
"20","Kansas","1995","4,358","",
"20","Kansas","1996","4,448","",
"20","Kansas","1997","4,589","",
"20","Kansas","1998","4,518","",
"20","Kansas","1999","4,554","",
"20","Kansas","2000","4,630","",
"20","Kansas","2001","4,683","",
"20","Kansas","2002","4,702","",
"20","Kansas","2003","4,618","",
"20","Kansas","2004","4,616","",
"20","Kansas","2005","4,701","",
"20","Kansas","2006","4,697","",
"20","Kansas","2007","4,529","",
