GeoName,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
United States,13488357,13865519,14399696,14901269,15315943,15623871,15642962,15236262,15648991,15891534,16253970
Alabama,160422.4,165134.7,176625,184369.5,187270.8,189002.5,186946.7,180707.2,184702.4,187605.8,189245.5
Alaska,42979,42355.3,44055,45657.1,49190.2,51721,51252.1,56215.1,54601.5,55280.3,58283.6
Arizona,220696.7,234065.9,244317.3,262326,274179.4,283250.7,280810.1,257498.5,260307.1,266101.5,271440
Arkansas,92950.5,96944.5,101733.6,105980,108460.6,107606.1,106536.5,102996.6,105662,107932.5,108492.1
California,1722522.4,1789998.5,1850904.5,1926842.1,2002437.4,2041192.2,2061638.8,1995439.7,2036015,2063827.5,2113096.4
Colorado,235417.3,237782.3,240747.6,251558.4,257430.2,266887.5,270981.4,264966.3,267858.9,271700.6,276823.1
Connecticut,216677.7,219186,233426.5,238549.5,248233.8,257953,257756,244894.7,244354.7,238542.4,240911.9
Delaware,56534.5,57300,60069.9,59335.1,60624.3,60477.9,58655.7,61517.7,60577.2,62919.3,62354.6
District of Columbia,91141.5,92921,97463.5,99480.7,99805.5,102738.7,106768.9,105893.9,109986.5,111646.5,112157
Florida,689974,722374.5,769140.5,815755.8,839963.8,850048.6,816070.2,769061.1,775039.5,772021.3,778545
Georgia,399413.4,411685.6,428555.2,447152.9,453032.1,455904,445764.6,428740.7,433727.2,441626.7,447764.7
Hawaii,56990.8,59978.8,63318.1,67123.9,68759.3,70080.4,70460.8,67927.5,69628.1,70646.6,71905.3
Idaho,47056.8,48593.7,51815.1,56043,57613.7,58670.9,60309.5,57327.9,58281.8,58226.2,58323.9
Illinois,647517.8,658317.3,676805.9,687706.6,704827.6,712619.8,706616.5,688161,698179.6,711283.4,726399.1
Indiana,265345.1,277151.6,287655.9,290328.2,296112.7,304085.7,300962.6,279520.7,297517.3,299064.5,300513.9
Iowa,123298.2,128962.3,139978.1,144577.3,146555.3,152861.8,149881.4,146182.8,150148.4,152435.2,158538.4
Kansas,116195,118192.5,119391.6,123949.8,130364.5,137093.6,139536.8,134227,135723.2,139579.4,141818.2
Kentucky,155643.9,159990.8,164650.2,171180.3,175657.7,174407.3,173810.1,166704.2,173780.1,175745.3,178143.7
Louisiana,213079.4,221774.4,232712.8,247773.2,245500.2,230367.7,232150.7,236411,246836.2,234975.7,235384.7
Maine,50910.4,52209.8,54256,54926.9,55448.4,55359.9,54653.9,53630.1,54305,53789,53679.7
Maryland,270468.4,278332,290284.6,301660.6,305794.1,306755.8,314757.6,311342.2,325369.7,332437.2,332523.5
Massachusetts,362581.6,369007.4,379086.1,386803.5,395535.8,406421.2,414919.9,407219.6,425792.7,434494.5,442916.9
Michigan,436802.2,443652.2,448888.3,457137.7,449853.5,446943.2,420974,383140.1,404216.9,414834.4,422691.2
Minnesota,253478.4,264165.9,275560.1,284636.9,284382,286299.2,288420.6,277494.1,287140.1,293783.2,298328.3
Mississippi,88569.4,92354.7,94482.6,96820.7,99005.8,100211.8,101777.6,98000.6,98601.1,98515.8,100448.4
Missouri,247437.1,252677.3,259741.4,265735.1,267221.1,267691.2,273436.2,266834.9,270732.9,268533.8,271535.1
Montana,32503.7,33810.5,35528.6,37373.9,38577.6,40438.3,40471.1,39513.4,40793.7,41875.7,42340.9
Nebraska,79179.8,83773.3,85987.1,89309.1,91832.7,93910.8,93840.5,93977.6,97466.1,102587.4,102725.9
Nevada,110448.6,115275.4,127325.6,137508.8,142967.1,144107.1,139954.2,128241.3,129828.4,130697.9,129312.9
New Hampshire,59474.6,61892.7,64408.6,65034.4,66628.2,66853.6,65854.1,65023.4,67125.8,67559.1,68498.1
