,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alaska,859.9000100000001,864.600015,882.000002,859.600002,848.3000049999999,868.10001,843.2000019999999,847.00001,858.00001,848.500007,848.900002,890.50001,861.8000099999999,900.00001,838.1,888.2000049999999,837.9000040000001,877.3,872.900005,866.700005,839.2000099999999,874.400005,865.6000200000001,857.9000200000002,859.8,887.6000049999999,785.60001,840.1000099999999,827.700005,858.100012,858.60001,826.4999999999999,841.90002,869.50001,896.400005,873.2000070000001,894.00001,916.200015,895.5,911.300005,887.1000049999999,857.800002,889.200015,863.500005,852.600012,845.1999999999999,863.70001,874.700007,870.70001,866.9000120000001,851.200009,850.2,856.200007,848.4000049999999,866.5000120000001,860.300015,858.000015,864.6000069999999,872.100005,849.8000100000002,867.3,887.7000099999999,863.000007,858.3000049999999,870.1000100000001,863.0000049999999,897.900005,873.000007,816.40001,871.800007,891.3000049999998,863.7,880.6000050000001,861.300017,823.200014,883.1000099999999,881.3000049999999,827.2000099999999,862.700007,844.200015,833.6,860.6000099999999,872.20001,865.700005,878.3000150000001,893.000005,854.400005,874.000005,861.2000049999999,867.400002,848.600015,858.8000099999999,851.1000050000001,860.6000149999999,881.0000250000002,848.600005,876.3000049999999,882.3000049999999,888.3,884.900015,875.700015,854.40001,839.300005,879.3000049999999,878.6000049999999,869.70001,876.20001,855.3000049999999,870.600005,842.700005,842.9999999999999,868.200015,884.5000100000001,858.6000049999999,816.8000100000002,861.5999999999998,849.3000049999999,887.2999999999998,886.3000049999999,884.7000050000001,900.3000049999999,837.200012
Alabama,708.3000040000001,718.7000019999999,726.6000069999999,699.3000020000001,670.3000059999999,714.800002,723.100005,698.900009,765.600009,722.700007,745.200011,690.5000060000001,730.500006,711.3000069999999,687.1000039999999,683.000006,711.100009,716.4000070000001,741.600014,707.600012,699.500004,686.600009,729.1999999999999,677.4000080000001,746.400009,713.6000019999999,718.500002,706.3999999999999,706.300004,718.6000069999999,746.600009,681.8000089999999,675.700011,697.4000090000001,717.4000019999999,690.200006,728.500002,689.7,716.500019,685.2000039999999,694.9000040000001,717.6999999999999,720.900002,702.7000049999999,719.200009,694.900007,692.7000039999999,640.300007,708.6000019999999,689.5999999999999,708.8000020000001,683.600011,737.400005,681.8000079999999,734.6000069999999,737.100006,713.00001,715.500012,741.4000090000001,692.9000089999998,728.600005,682.700009,696.100004,692.500009,757.9000110000001,665.000009,741.700021,725.600005,752.000004,692.800004,742.700007,736.7000100000001,729.900004,691.3000020000001,730.0000160000001,707.5000039999999,751.000004,679.2999999999998,735.200016,651.700006,703.600013,692.600011,736.8000089999999,734.5000020000001,735.1000049999999,735.700004,721.6999999999999,707.0000100000001,733.100016,687.500007,727.100002,694.3,712.2000039999999,712.1999999999999,740.200005,743.600006,710.000007,650.600006,741.5000210000001,664.300009,724.0000099999999,677.300002,696.900013,719.600004,750.7000069999999,690.4999999999999,724.200017,709.700006,732.600002,686.9000110000001,678.800002,653.2000079999999,691.6000019999999,709.100004,736.900009,695.4000040000001,701.900008,714.800011,694.500004,672.700007,739.9000090000001,720.300012
Arkansas,605.800008,660.900006,607.2000060000001,598.10001,623.600009,616.800004,626.900004,624.9000060000001,670.6000019999999,652.100004,622.3,626.0,652.200011,617.70001,606.2000039999999,604.7000100000001,580.400006,582.7000080000001,648.3000020000001,611.7000039999999,625.4,577.3000059999999,619.700006,593.400004,615.800004,640.000008,622.8,611.500008,646.400008,649.6000080000001,652.400002,618.6000060000001,614.600006,599.100007,584.7000079999999,611.400008,608.4000020000001,583.300002,625.0000040000001,577.600008,601.60001,634.800009,636.2000039999999,598.500006,620.300006,619.600002,586.2000019999999,597.2000039999998,632.5000110000001,622.700009,600.400004,627.4000100000001,653.300008,616.300008,650.100004,630.700004,617.600002,599.50001,604.50001,564.100002,586.900004,569.900008,616.500011,620.20001,634.300002,612.100011,658.9000040000001,624.000008,647.4,606.900002,634.9000060000001,641.600006,642.500002,591.100005,646.5999999999999,628.7000110000001,654.600002,616.9000030000001,634.200006,572.7000039999999,605.8000059999999,613.900002,648.800008,632.0,610.1000019999999,627.500002,626.8000040000001,597.7000090000001,611.7000039999999,601.70001,620.200006,604.1000060000001,622.0000060000001,613.5000070000001,651.1000039999999,646.200006,609.0,575.900002,611.9000030000001,603.0000120000001,621.2000039999999,604.3000040000001,620.100006,637.200004,658.6000040000001,603.8000000000001,605.600004,638.60001,644.0000060000001,597.6000060000001,575.400004,566.4000060000001,620.300004,628.5000019999999,643.4000100000001,642.200006,604.8000079999999,621.9000040000001,607.9000019999999,588.8000040000001,643.200008,626.200009
Arizona,498.600002,463.900004,487.5999999999999,464.800002,500.600002,471.50000200000005,501.700007,474.70000600000003,506.50000300000005,459.70000600000003,484.50000600000004,476.40000200000003,509.30000400000006,474.400006,479.30000700000005,463.9000040000001,476.600003,470.00000600000004,487.900005,467.00000600000004,478.30000600000005,463.800002,490.70000100000004,471.50000600000004,484.59999999999997,461.50000400000005,484.800003,469.10000400000007,485.200002,466.700004,505.300002,469.300004,512.6999999999999,467.800002,483.70000300000004,469.10000800000006,487.1,467.5000080000001,496.79999999999995,460.20000400000004,473.20000400000004,464.7000040000001,489.2000060000001,464.800004,485.5000059999999,466.000002,470.600004,465.70000200000004,494.800002,475.70000600000003,486.90000299999997,475.00000400000005,482.50000299999994,463.80000600000005,494.500002,467.2000060000001,480.700002,471.900004,481.00000500000004,475.400002,480.80000600000005,470.40000200000003,504.00000600000004,468.400006,494.900003,466.20000600000003,485.800002,465.30000400000006,475.900004,466.50000400000005,480.00000200000005,465.20000200000004,494.400002,462.20000400000004,505.700002,470.50000600000004,489.00000400000005,470.20000200000004,494.00000800000004,465.9000060000001,484.600006,469.50000200000005,504.70000400000004,458.100004,490.4,469.60000600000006,492.100002,470.80000400000006,464.00000299999994,466.300006,478.600002,469.90000200000003,497.90000200000003,467.800004,472.800002,465.500004,487.20000200000004,468.900006,475.70000600000003,462.600004,503.6,466.70000200000004,486.200002,462.40000200000003,479.400004,469.50000200000005,473.100001,460.00000200000005,474.40000100000003,470.70000200000004,479.60000800000006,464.6000020000001,501.300007,460.100006,491.900002,468.70000400000004,475.30000600000005,476.00000600000004,492.70000000000005,468.800006,492.300004,469.600002
California,496.800009,513.000008,491.69999999999993,490.20000300000004,511.20000200000004,492.50000200000005,498.70000200000004,529.900009,514.200007,508.900007,518.6000100000001,494.000001,480.200003,494.20000500000003,493.10000299999996,507.80000500000006,487.40000900000007,490.100007,515.0000070000001,509.0000059999999,503.700008,513.900006,535.400001,498.200013,503.70000899999997,499.600007,493.5000020000001,478.30000500000006,488.9000060000001,519.0,499.400007,485.300011,496.40000399999997,505.70000400000004,520.900003,495.300002,494.100004,503.80000800000005,510.200003,497.1000049999999,492.800005,505.400008,509.000004,510.10001,496.300005,493.0,482.100006,510.500007,505.00000199999994,506.60001200000005,532.000006,496.4000049999999,510.900004,496.70000099999993,493.800005,463.00000500000004,482.90000200000003,472.50000400000005,512.4000110000001,501.400005,485.900011,468.7,498.400007,507.5000019999999,482.80000299999995,508.79999999999995,527.200002,500.400003,486.40000499999996,486.200007,504.600001,525.400003,492.900002,510.40000299999997,505.40000299999997,495.80000799999993,483.000006,485.50000500000004,514.3000030000001,502.10001000000005,508.700002,512.000004,505.600005,495.200001,495.9000040000001,503.30000500000006,478.400002,484.700005,494.600003,491.400001,486.30000800000005,482.00000700000004,501.30000200000006,480.100003,489.200007,501.6000050000001,493.600011,486.900003,491.20001,492.300005,476.50000600000004,472.700004,474.60000299999996,472.5000059999999,463.8000019999999,500.1000030000001,496.7000120000001,503.90000799999996,523.700005,504.30000500000006,513.2000049999999,489.600003,505.500006,481.100004,502.20000500000003,487.500002,502.50000199999994,516.8999999999999,511.00001100000003,490.00000800000004,497.100005,520.2000029999999
Colorado,670.400004,706.7000039999999,669.300012,683.800006,702.000006,701.200007,712.9000070000001,694.8000109999999,690.8000090000002,694.3000080000002,685.700004,704.500009,711.600002,702.600006,687.800002,682.200008,650.700008,675.8000040000001,703.2000039999999,690.4,680.200008,680.600002,677.800004,683.3000059999999,675.6000140000001,705.9000060000001,671.10001,686.300014,682.7000070000001,703.000006,708.9000020000001,693.700008,678.8000049999999,672.000002,703.0,660.1000060000001,658.600014,665.0000130000001,693.8000070000002,658.1999999999999,693.6000060000001,689.600007,668.100009,678.2000019999999,672.800008,686.700006,678.900006,682.3000109999999,693.2000060000001,705.7000159999999,702.0000100000001,700.300009,704.6000060000001,691.800006,704.50001,662.8000089999999,681.0000130000002,670.200008,660.4000020000001,640.4000080000001,669.5000039999999,680.400011,683.300009,681.3000040000001,677.600007,700.5000080000001,697.80001,702.4000120000001,706.100007,679.800008,674.6999999999998,705.1000089999999,686.0000019999999,677.5,686.5000110000001,701.7000060000001,724.100013,669.300009,689.0000019999999,663.100007,668.0000130000001,689.000008,694.200004,639.700004,662.5000090000001,719.000011,699.6000069999999,661.6000079999999,686.8000020000001,689.5000150000001,698.300008,685.100002,695.300006,706.000002,676.6000019999999,688.8000059999999,655.0000070000001,656.5000040000001,701.6000069999999,698.300005,684.400002,656.1999999999998,694.300004,706.200009,709.6000019999999,650.100005,676.900006,661.300004,681.100008,669.8000100000002,695.6000110000001,672.700007,685.600009,676.8000040000001,666.5000039999999,685.200006,681.300004,684.700002,692.400005,658.2999999999998,650.500011,664.100008
Connecticut,767.2000019999999,791.1000069999999,788.000005,795.7000110000001,803.800017,760.6000049999999,780.9000090000001,776.3,807.6000150000001,792.2000019999999,776.6000100000001,770.2000049999999,773.8000099999999,768.2000180000001,793.5000149999998,778.10002,750.200016,769.300005,796.4,740.3999999999999,793.60001,749.7000020000002,779.5000099999999,765.800002,764.9000050000001,788.800017,788.700002,740.100005,741.9000020000001,755.8000020000001,785.9000170000002,764.400016,755.600002,764.1000049999999,763.3000049999998,765.7000069999999,785.100015,784.600014,778.0000080000001,781.7000139999999,780.5000120000001,757.600005,751.600002,761.700004,770.6000140000001,795.6000099999998,780.000007,779.2000069999999,790.9000050000001,753.600014,817.400025,766.000019,818.800015,792.200012,754.800008,785.3000139999999,793.40001,761.90001,769.5000100000001,771.7000069999999,742.2000090000001,759.300004,777.100007,782.900015,807.700017,771.1000200000001,799.2000119999999,779.2000099999999,773.4000110000001,786.5000050000001,790.7000049999998,799.000002,799.400017,752.3000099999999,803.40001,791.80001,798.2000140000002,787.800012,766.500015,766.5,793.500022,782.8000159999999,797.000012,781.2000190000001,772.8,799.4000139999999,803.1000170000001,770.5000049999999,790.100007,776.1000220000001,782.100009,761.2000089999999,775.400007,770.300012,764.500014,798.100012,773.500004,782.8000069999999,786.30001,772.8000119999999,783.300002,778.700007,780.300009,779.8000049999999,818.6000170000001,772.900007,788.3000049999999,778.7000049999999,766.100011,770.0000160000001,745.200019,746.6000059999999,778.100002,779.500017,792.700007,761.000007,798.3000099999998,772.5000190000001,786.5000110000001,772.200009,766.8000000000001,762.6000019999999
District of Columbia,743.8000170000001,769.000019,746.5000140000001,741.00001,769.40001,748.500007,768.700022,740.7000099999999,790.800014,750.7000089999999,746.9999999999999,750.7000150000001,765.3000049999999,753.6000090000001,728.700006,736.500012,722.0000090000001,730.7000070000001,743.600005,720.400002,742.400002,717.100004,744.000009,719.6,730.500004,756.600007,748.4999999999999,720.000007,721.800004,737.900019,759.100002,734.2000019999999,704.600009,735.7000039999999,718.7000049999999,729.3000039999998,769.9000170000002,767.200009,765.500015,742.5000120000001,739.700002,737.9000050000001,753.7000019999999,728.5999999999999,723.300006,759.7000140000001,770.6000019999999,711.600006,748.500007,714.60001,765.00001,726.4000139999999,762.500004,766.000002,732.400002,753.5000110000001,748.600007,735.8000019999998,707.5000080000001,743.600002,710.800002,708.4000110000001,747.300011,739.200007,778.2000140000001,728.400006,753.0000100000001,778.3,751.400007,741.3000099999999,764.9000110000001,772.800004,788.600002,718.9000090000001,744.400004,750.700012,761.1000049999998,731.6000100000001,757.50001,719.000009,737.0000170000001,746.6999999999999,760.600017,754.6000089999999,741.6000109999999,795.500015,778.200011,736.100007,748.3999999999999,748.700014,762.70001,717.600004,738.9000039999999,739.400009,738.900009,783.700006,756.8,743.0000040000001,763.0000240000002,748.2000039999999,733.800008,730.9000110000001,725.400012,732.1999999999999,761.100012,728.500009,755.100007,762.2000049999999,742.500006,746.700002,705.000004,687.200002,720.2000069999999,737.2000019999999,762.400005,709.2000040000001,771.9000110000001,754.4000070000001,753.8000049999999,725.0000019999999,746.6000069999999,729.700007
Delaware,719.200009,735.000007,731.400006,720.300007,739.700006,718.8000040000001,745.8000070000002,718.7000019999999,763.1000069999999,722.9999999999999,732.600011,724.200002,740.600005,719.8000049999999,707.3000020000001,709.9000020000001,705.700007,712.100007,719.2000069999999,687.3000040000001,731.4000070000001,699.0000180000001,728.200004,699.8000069999999,706.1000019999999,734.000005,720.900004,683.9000100000001,695.000004,708.800011,738.100014,703.5000090000001,689.200009,705.900011,703.00001,703.900004,742.8000089999999,732.2000039999999,737.100014,706.900007,711.2000109999999,708.200006,727.300007,703.100004,710.100002,734.300007,740.800014,691.500002,720.4000070000001,680.600008,738.600013,690.7000019999999,741.300002,737.8000210000001,704.200011,724.5000130000001,731.4000070000001,707.300004,693.9000090000001,718.5000090000001,698.0000040000001,683.200008,731.200006,707.700004,753.300002,693.7000119999999,739.100012,747.9000019999999,731.1000040000001,716.8000079999999,745.200005,746.2000039999999,760.700009,687.200004,724.700009,724.2000089999998,748.800012,714.700009,726.8000040000001,686.500004,720.4000050000001,718.800008,739.600006,732.3000070000002,716.100007,766.400002,757.2000069999999,705.200012,734.0000140000001,718.000012,747.100004,687.800004,718.1000130000001,714.3,717.700007,749.0000100000001,735.200004,719.600004,744.40001,718.100009,725.300004,705.3000040000001,717.000007,709.1000019999999,741.200005,697.4000060000001,740.0000090000001,734.2000120000001,713.7000019999998,714.100004,691.500004,659.9000040000001,706.0000100000001,712.4000110000001,744.700002,687.600006,749.100014,723.500007,734.200006,701.6000130000001,721.200007,704.700006
Florida,671.800002,694.400004,695.100008,685.5000020000001,667.100007,708.500004,704.700013,688.0000019999999,726.100006,682.4000090000001,701.0000040000001,679.700004,704.9000080000001,687.0,699.100011,677.200009,691.9,687.600005,703.6000100000001,688.500004,686.8000089999998,694.600006,722.9000040000001,684.5000019999999,729.900007,699.900004,708.8000020000001,679.100004,695.8000040000001,688.2000039999999,691.500004,657.7000040000001,696.40001,690.000006,709.400009,688.300008,677.4000040000001,685.400006,687.700009,676.800004,661.100004,682.300002,671.2000089999999,670.7000019999999,683.400004,692.8000049999999,698.100011,666.900004,673.4000110000001,690.500002,695.80001,700.1,680.4000069999998,662.100008,710.400004,708.8000020000001,713.3000129999999,682.600006,701.8000059999999,682.7000019999999,676.600004,676.7000039999999,687.500004,692.7000080000001,703.5000060000001,691.4000080000001,733.900007,703.6999999999999,698.100008,677.8999999999999,686.5000180000001,677.100009,679.3000120000002,680.700006,678.400004,693.500004,708.700011,675.8000059999999,708.600002,683.600002,662.4000060000001,667.5000110000001,655.900004,671.9000039999999,689.8000069999999,695.100004,712.4000080000001,716.800014,712.200007,693.000006,677.1000050000001,677.3000089999998,686.3000149999999,717.0,700.200013,702.7000019999999,739.500004,676.1000039999999,694.400007,691.1000049999999,687.200016,673.2000019999999,658.500008,663.2000019999999,706.500004,678.900004,657.9000090000001,675.0000040000001,674.5000019999999,682.600006,669.8000040000001,658.6999999999999,654.2000079999999,698.800002,692.500009,693.400004,683.2000080000001,703.6000019999999,652.7000059999999,674.000002,687.7000019999999,689.4
