,Date,GDP,State
0,1997-01-01,1808.5,ALFARMRGSP
1,1998-01-01,2046.0,ALFARMRGSP
2,1999-01-01,2398.5,ALFARMRGSP
3,2000-01-01,2342.0,ALFARMRGSP
4,2001-01-01,2556.0,ALFARMRGSP
5,2002-01-01,2121.6,ALFARMRGSP
6,2003-01-01,2751.6,ALFARMRGSP
7,2004-01-01,3189.3,ALFARMRGSP
8,2005-01-01,3386.7,ALFARMRGSP
9,2006-01-01,2581.2,ALFARMRGSP
10,2007-01-01,1756.9,ALFARMRGSP
11,2008-01-01,1694.9,ALFARMRGSP
12,2009-01-01,2327.4,ALFARMRGSP
13,2010-01-01,1922.3,ALFARMRGSP
14,2011-01-01,1083.7,ALFARMRGSP
15,2012-01-01,1252.5,ALFARMRGSP
16,2013-01-01,2485.2,ALFARMRGSP
17,2014-01-01,2059.0,ALFARMRGSP
18,2015-01-01,2665.7,ALFARMRGSP
19,2016-01-01,2208.3,ALFARMRGSP
20,2017-01-01,2541.7,ALFARMRGSP
21,2018-01-01,2641.1,ALFARMRGSP
22,2019-01-01,2030.4,ALFARMRGSP
23,2020-01-01,1406.9,ALFARMRGSP
24,2021-01-01,2183.3,ALFARMRGSP
0,1997-01-01,33.5,AKFARMRGSP
1,1998-01-01,35.3,AKFARMRGSP
2,1999-01-01,41.0,AKFARMRGSP
3,2000-01-01,52.2,AKFARMRGSP
4,2001-01-01,44.9,AKFARMRGSP
5,2002-01-01,48.9,AKFARMRGSP
6,2003-01-01,30.2,AKFARMRGSP
7,2004-01-01,26.8,AKFARMRGSP
8,2005-01-01,32.3,AKFARMRGSP
9,2006-01-01,30.5,AKFARMRGSP
10,2007-01-01,20.9,AKFARMRGSP
11,2008-01-01,17.7,AKFARMRGSP
12,2009-01-01,27.0,AKFARMRGSP
13,2010-01-01,21.8,AKFARMRGSP
14,2011-01-01,16.1,AKFARMRGSP
15,2012-01-01,20.3,AKFARMRGSP
16,2013-01-01,18.6,AKFARMRGSP
17,2014-01-01,25.3,AKFARMRGSP
18,2015-01-01,29.4,AKFARMRGSP
19,2016-01-01,37.6,AKFARMRGSP
20,2017-01-01,35.6,AKFARMRGSP
21,2018-01-01,35.9,AKFARMRGSP
22,2019-01-01,34.3,AKFARMRGSP
23,2020-01-01,33.7,AKFARMRGSP
24,2021-01-01,26.4,AKFARMRGSP
0,1997-01-01,1546.9,AZFARMRGSP
1,1998-01-01,1789.1,AZFARMRGSP
2,1999-01-01,1883.1,AZFARMRGSP
3,2000-01-01,2157.1,AZFARMRGSP
4,2001-01-01,1801.0,AZFARMRGSP
5,2002-01-01,2113.9,AZFARMRGSP
6,2003-01-01,1876.2,AZFARMRGSP
7,2004-01-01,2327.5,AZFARMRGSP
8,2005-01-01,2501.7,AZFARMRGSP
9,2006-01-01,2161.5,AZFARMRGSP
10,2007-01-01,1965.1,AZFARMRGSP
11,2008-01-01,1372.7,AZFARMRGSP
12,2009-01-01,1370.5,AZFARMRGSP
13,2010-01-01,1599.6,AZFARMRGSP
14,2011-01-01,1912.7,AZFARMRGSP
15,2012-01-01,1363.5,AZFARMRGSP
16,2013-01-01,1774.0,AZFARMRGSP
17,2014-01-01,1673.5,AZFARMRGSP
18,2015-01-01,2248.5,AZFARMRGSP
19,2016-01-01,3037.4,AZFARMRGSP
20,2017-01-01,2725.9,AZFARMRGSP
21,2018-01-01,2826.4,AZFARMRGSP
22,2019-01-01,2802.6,AZFARMRGSP
23,2020-01-01,2911.1,AZFARMRGSP
24,2021-01-01,2117.7,AZFARMRGSP
0,1997-01-01,3148.1,ARFARMRGSP
1,1998-01-01,2790.2,ARFARMRGSP
2,1999-01-01,2998.1,ARFARMRGSP
3,2000-01-01,2987.7,ARFARMRGSP
4,2001-01-01,3061.7,ARFARMRGSP
5,2002-01-01,2674.9,ARFARMRGSP
6,2003-01-01,3466.7,ARFARMRGSP
7,2004-01-01,4371.4,ARFARMRGSP
8,2005-01-01,3782.1,ARFARMRGSP
9,2006-01-01,3694.0,ARFARMRGSP
10,2007-01-01,3163.4,ARFARMRGSP
11,2008-01-01,3016.8,ARFARMRGSP
12,2009-01-01,2872.9,ARFARMRGSP
13,2010-01-01,2158.8,ARFARMRGSP
14,2011-01-01,1763.1,ARFARMRGSP
15,2012-01-01,2002.3,ARFARMRGSP
16,2013-01-01,3206.8,ARFARMRGSP
17,2014-01-01,2971.2,ARFARMRGSP
18,2015-01-01,2886.9,ARFARMRGSP
19,2016-01-01,2813.5,ARFARMRGSP
20,2017-01-01,3337.1,ARFARMRGSP
21,2018-01-01,3232.9,ARFARMRGSP
22,2019-01-01,1919.0,ARFARMRGSP
23,2020-01-01,2051.1,ARFARMRGSP
24,2021-01-01,2910.4,ARFARMRGSP
0,1997-01-01,18853.0,CAFARMRGSP
1,1998-01-01,18181.8,CAFARMRGSP
2,1999-01-01,21113.0,CAFARMRGSP
3,2000-01-01,24281.0,CAFARMRGSP
4,2001-01-01,21457.4,CAFARMRGSP
5,2002-01-01,24753.7,CAFARMRGSP
6,2003-01-01,24790.8,CAFARMRGSP
7,2004-01-01,25772.9,CAFARMRGSP
8,2005-01-01,30958.5,CAFARMRGSP
9,2006-01-01,28796.6,CAFARMRGSP
10,2007-01-01,25814.0,CAFARMRGSP
11,2008-01-01,22233.7,CAFARMRGSP
12,2009-01-01,28866.6,CAFARMRGSP
13,2010-01-01,28553.0,CAFARMRGSP
14,2011-01-01,24807.5,CAFARMRGSP
15,2012-01-01,25034.5,CAFARMRGSP
16,2013-01-01,27337.2,CAFARMRGSP
17,2014-01-01,32766.3,CAFARMRGSP
18,2015-01-01,34859.1,CAFARMRGSP
19,2016-01-01,39489.1,CAFARMRGSP
20,2017-01-01,38379.7,CAFARMRGSP
21,2018-01-01,38730.9,CAFARMRGSP
22,2019-01-01,35131.0,CAFARMRGSP
23,2020-01-01,36379.7,CAFARMRGSP
24,2021-01-01,24876.2,CAFARMRGSP
0,1997-01-01,1808.9,COFARMRGSP
