,state,Year,All Disasters Cost Range
0,AL,1980,1000-2000
1,AL,1981,250-500
2,AL,1982,5-100
3,AL,1983,500-1000
4,AL,1984,0-0
5,AL,1985,500-1000
6,AL,1986,250-500
7,AL,1987,0-0
8,AL,1988,1000-2000
9,AL,1989,5-100
10,AL,1990,0-0
11,AL,1991,100-250
12,AL,1992,5-100
13,AL,1993,500-1000
14,AL,1994,1000-2000
15,AL,1995,1000-2000
16,AL,1996,0-0
17,AL,1997,0-0
18,AL,1998,1000-2000
19,AL,1999,250-500
20,AL,2000,500-1000
21,AL,2001,0-0
22,AL,2002,1000-2000
23,AL,2003,100-250
24,AL,2004,5000-10000
25,AL,2005,5000-10000
26,AL,2006,500-1000
27,AL,2007,250-500
28,AL,2008,250-500
29,AL,2009,500-1000
30,AL,2010,0-0
31,AL,2011,5000-10000
32,AL,2012,250-500
33,AL,2013,250-500
34,AL,2014,500-1000
35,AL,2015,5-100
36,AL,2016,100-250
37,AL,2017,1000-2000
38,AL,2018,2000-5000
39,AL,2019,100-250
40,AL,2020,5000-10000
41,AL,2021,500-1000
42,AL,2022,250-500
43,AL,2023,250-500
0,AK,1980,0-0
1,AK,1981,0-0
2,AK,1982,0-0
3,AK,1983,0-0
4,AK,1984,0-0
5,AK,1985,0-0
6,AK,1986,0-0
7,AK,1987,0-0
8,AK,1988,0-0
9,AK,1989,0-0
10,AK,1990,0-0
11,AK,1991,0-0
12,AK,1992,0-0
13,AK,1993,0-0
14,AK,1994,0-0
15,AK,1995,0-0
16,AK,1996,0-0
17,AK,1997,0-0
18,AK,1998,0-0
19,AK,1999,0-0
20,AK,2000,0-0
21,AK,2001,0-0
22,AK,2002,250-500
23,AK,2003,100-250
24,AK,2004,0-0
25,AK,2005,0-0
26,AK,2006,5-100
27,AK,2007,100-250
28,AK,2008,0-0
29,AK,2009,500-1000
30,AK,2010,0-0
31,AK,2011,0-0
32,AK,2012,0-0
33,AK,2013,0-0
34,AK,2014,0-0
35,AK,2015,250-500
36,AK,2016,0-0
37,AK,2017,0-0
38,AK,2018,0-0
39,AK,2019,250-500
40,AK,2020,0-0
41,AK,2021,0-0
42,AK,2022,5-100
43,AK,2023,0-0
0,AZ,1980,0-0
1,AZ,1981,0-0
2,AZ,1982,0-0
3,AZ,1983,1000-2000
4,AZ,1984,0-0
5,AZ,1985,0-0
6,AZ,1986,0-0
7,AZ,1987,0-0
8,AZ,1988,0-0
9,AZ,1989,0-0
10,AZ,1990,0-0
11,AZ,1991,0-0
12,AZ,1992,0-0
13,AZ,1993,0-0
14,AZ,1994,100-250
15,AZ,1995,0-0
16,AZ,1996,0-0
17,AZ,1997,0-0
18,AZ,1998,0-0
19,AZ,1999,0-0
20,AZ,2000,100-250
21,AZ,2001,0-0
22,AZ,2002,250-500
23,AZ,2003,250-500
24,AZ,2004,0-0
25,AZ,2005,0-0
26,AZ,2006,100-250
27,AZ,2007,100-250
28,AZ,2008,5-100
29,AZ,2009,5-100
30,AZ,2010,5000-10000
31,AZ,2011,100-250
32,AZ,2012,5-100
33,AZ,2013,5-100
34,AZ,2014,5-100
35,AZ,2015,5-100
36,AZ,2016,5-100
37,AZ,2017,5-100
38,AZ,2018,5-100
39,AZ,2019,0-0
40,AZ,2020,100-250
41,AZ,2021,250-500
42,AZ,2022,100-250
43,AZ,2023,0-0
0,AR,1980,500-1000
1,AR,1981,0-0
2,AR,1982,100-250
3,AR,1983,2000-5000
4,AR,1984,5-100
5,AR,1985,5-100
6,AR,1986,500-1000
7,AR,1987,0-0
8,AR,1988,1000-2000
9,AR,1989,5-100
10,AR,1990,250-500
