,01-2001,04-2001,07-2001,10-2001,01-2002,04-2002,07-2002,10-2002,01-2003,04-2003,07-2003,10-2003,01-2004,04-2004,07-2004,10-2004,01-2005,04-2005,07-2005,10-2005,01-2006,04-2006,07-2006,10-2006,01-2007,04-2007,07-2007,10-2007,01-2008,04-2008,07-2008,10-2008,01-2009,04-2009,07-2009,10-2009,01-2010,04-2010,07-2010,10-2010,01-2011,04-2011,07-2011,10-2011,01-2012,04-2012,07-2012,10-2012,01-2013,04-2013,07-2013,10-2013,01-2014,04-2014,07-2014,10-2014,01-2015,04-2015,07-2015,10-2015,01-2016,04-2016,07-2016,10-2016,01-2017,04-2017,07-2017,10-2017,01-2018,04-2018,07-2018,10-2018,01-2019,04-2019,07-2019,10-2019,01-2020,04-2020,07-2020,10-2020,01-2021,04-2021,07-2021,10-2021
District of Columbia,35543.559,35543.559,35543.559,35543.559,37673.826,37673.826,37673.826,37673.826,39337.004,39337.004,39337.004,39337.004,42135.878,42135.878,42135.878,42135.878,44520.311,44520.311,44520.311,44520.311,47081.102,47081.102,47081.102,47081.102,49807.526,49807.526,49807.526,49807.526,52420.213,52420.213,52420.213,52420.213,52833.994,52833.994,52833.994,52833.994,55600.77,55600.77,55600.77,55600.77,57670.028,57670.028,57670.028,57670.028,59184.177,59184.177,59184.177,59184.177,60153.61,60153.61,60153.61,60153.61,62634.039,62634.039,62634.039,62634.039,65554.575,65554.575,65554.575,65554.575,67705.587,67705.587,67705.587,67705.587,70689.369,70689.369,70689.369,70689.369,74017.427,74017.427,74017.427,74017.427,76091.511,76091.511,76091.511,76091.511,77744.943,77744.943,77744.943,77744.943,81399.707,81399.707,81399.707,81399.707
Alabama,55822.097,55822.097,55822.097,55822.097,57047.132,57047.132,57047.132,57047.132,58784.219,58784.219,58784.219,58784.219,61875.781,61875.781,61875.781,61875.781,65549.227,65549.227,65549.227,65549.227,69810.641,69810.641,69810.641,69810.641,73187.774,73187.774,73187.774,73187.774,75008.201,75008.201,75008.201,75008.201,72121.372,72121.372,72121.372,72121.372,73050.403,73050.403,73050.403,73050.403,74690.663,74690.663,74690.663,74690.663,76768.802,76768.802,76768.802,76768.802,78002.608,78002.608,78002.608,78002.608,80668.353,80668.353,80668.353,80668.353,83690.526,83690.526,83690.526,83690.526,85866.64,85866.64,85866.64,85866.64,89088.711,89088.711,89088.711,89088.711,93007.888,93007.888,93007.888,93007.888,97168.69,97168.69,97168.69,97168.69,99675.713,99675.713,99675.713,99675.713,106823.782,106823.782,106823.782,106823.782
Arizona,74963.072,74963.072,74963.072,74963.072,76249.616,76249.616,76249.616,76249.616,79660.387,79660.387,79660.387,79660.387,86289.703,86289.703,86289.703,86289.703,94982.622,94982.622,94982.622,94982.622,104623.913,104623.913,104623.913,104623.913,110013.599,110013.599,110013.599,110013.599,109833.908,109833.908,109833.908,109833.908,102641.817,102641.817,102641.817,102641.817,102045.595,102045.595,102045.595,102045.595,106024.81,106024.81,106024.81,106024.81,110873.671,110873.671,110873.671,110873.671,114251.845,114251.845,114251.845,114251.845,119138.234,119138.234,119138.234,119138.234,125093.836,125093.836,125093.836,125093.836,130045.579,130045.579,130045.579,130045.579,137782.585,137782.585,137782.585,137782.585,146576.802,146576.802,146576.802,146576.802,156514.188,156514.188,156514.188,156514.188,164982.395,164982.395,164982.395,164982.395,181245.017,181245.017,181245.017,181245.017
Arkansas,30725.592,30725.592,30725.592,30725.592,31426.789,31426.789,31426.789,31426.789,32240.891,32240.891,32240.891,32240.891,34146.879,34146.879,34146.879,34146.879,35881.839,35881.839,35881.839,35881.839,37828.17,37828.17,37828.17,37828.17,40049.204,40049.204,40049.204,40049.204,40931.968,40931.968,40931.968,40931.968,40492.023,40492.023,40492.023,40492.023,41115.065,41115.065,41115.065,41115.065,42487.274,42487.274,42487.274,42487.274,43837.465,43837.465,43837.465,43837.465,44636.848,44636.848,44636.848,44636.848,46275.851,46275.851,46275.851,46275.851,48169.463,48169.463,48169.463,48169.463,49542.893,49542.893,49542.893,49542.893,51573.741,51573.741,51573.741,51573.741,53224.511,53224.511,53224.511,53224.511,55359.992,55359.992,55359.992,55359.992,57172.045,57172.045,57172.045,57172.045,61993.361,61993.361,61993.361,61993.361
California,619146.651,619146.651,619146.651,619146.651,614542.438,614542.438,614542.438,614542.438,630692.095,630692.095,630692.095,630692.095,667521.587,667521.587,667521.587,667521.587,703992.718,703992.718,703992.718,703992.718,749504.65,749504.65,749504.65,749504.65,790444.53,790444.53,790444.53,790444.53,797791.743,797791.743,797791.743,797791.743,754405.952,754405.952,754405.952,754405.952,768071.901,768071.901,768071.901,768071.901,801387.208,801387.208,801387.208,801387.208,849471.063,849471.063,849471.063,849471.063,878312.632,878312.632,878312.632,878312.632,933404.858,933404.858,933404.858,933404.858,1005383.369,1005383.369,1005383.369,1005383.369,1052676.812,1052676.812,1052676.812,1052676.812,1120858.375,1120858.375,1120858.375,1120858.375,1188490.488,1188490.488,1188490.488,1188490.488,1258022.742,1258022.742,1258022.742,1258022.742,1301732.882,1301732.882,1301732.882,1301732.882,1455433.848,1455433.848,1455433.848,1455433.848
Colorado,83547.602,83547.602,83547.602,83547.602,81856.676,81856.676,81856.676,81856.676,82470.857,82470.857,82470.857,82470.857,86285.273,86285.273,86285.273,86285.273,91085.642,91085.642,91085.642,91085.642,97541.179,97541.179,97541.179,97541.179,104077.012,104077.012,104077.012,104077.012,107718.864,107718.864,107718.864,107718.864,103160.644,103160.644,103160.644,103160.644,104207.434,104207.434,104207.434,104207.434,108621.982,108621.982,108621.982,108621.982,114600.362,114600.362,114600.362,114600.362,118828.728,118828.728,118828.728,118828.728,127473.604,127473.604,127473.604,127473.604,135154.554,135154.554,135154.554,135154.554,139529.389,139529.389,139529.389,139529.389,148532.902,148532.902,148532.902,148532.902,157609.757,157609.757,157609.757,157609.757,169145.247,169145.247,169145.247,169145.247,173446.129,173446.129,173446.129,173446.129,190513.235,190513.235,190513.235,190513.235
Connecticut,78272.099,78272.099,78272.099,78272.099,77238.207,77238.207,77238.207,77238.207,78571.015,78571.015,78571.015,78571.015,83204.725,83204.725,83204.725,83204.725,87071.192,87071.192,87071.192,87071.192,91654.92,91654.92,91654.92,91654.92,97839.316,97839.316,97839.316,97839.316,98564.257,98564.257,98564.257,98564.257,93321.265,93321.265,93321.265,93321.265,94889.456,94889.456,94889.456,94889.456,98584.051,98584.051,98584.051,98584.051,101059.14,101059.14,101059.14,101059.14,102287.013,102287.013,102287.013,102287.013,105694.292,105694.292,105694.292,105694.292,108965.519,108965.519,108965.519,108965.519,109775.386,109775.386,109775.386,109775.386,111257.379,111257.379,111257.379,111257.379,113395.352,113395.352,113395.352,113395.352,116566.741,116566.741,116566.741,116566.741,116390.08,116390.08,116390.08,116390.08,123849.88,123849.88,123849.88,123849.88
Delaware,15629.636,15629.636,15629.636,15629.636,15951.763,15951.763,15951.763,15951.763,16470.383,16470.383,16470.383,16470.383,17474.851,17474.851,17474.851,17474.851,18638.348,18638.348,18638.348,18638.348,19540.868,19540.868,19540.868,19540.868,20030.887,20030.887,20030.887,20030.887,20125.685,20125.685,20125.685,20125.685,19219.895,19219.895,19219.895,19219.895,19422.551,19422.551,19422.551,19422.551,20349.047,20349.047,20349.047,20349.047,20985.669,20985.669,20985.669,20985.669,21535.476,21535.476,21535.476,21535.476,22540.467,22540.467,22540.467,22540.467,23418.619,23418.619,23418.619,23418.619,23561.791,23561.791,23561.791,23561.791,24668.831,24668.831,24668.831,24668.831,25399.918,25399.918,25399.918,25399.918,26478.078,26478.078,26478.078,26478.078,26649.926,26649.926,26649.926,26649.926,28480.479,28480.479,28480.479,28480.479
Florida,225713.701,225713.701,225713.701,225713.701,232319.645,232319.645,232319.645,232319.645,243126.985,243126.985,243126.985,243126.985,262602.342,262602.342,262602.342,262602.342,285113.629,285113.629,285113.629,285113.629,306030.332,306030.332,306030.332,306030.332,315791.291,315791.291,315791.291,315791.291,311008.465,311008.465,311008.465,311008.465,294282.433,294282.433,294282.433,294282.433,295622.774,295622.774,295622.774,295622.774,304452.918,304452.918,304452.918,304452.918,317212.295,317212.295,317212.295,317212.295,328173.188,328173.188,328173.188,328173.188,347460.505,347460.505,347460.505,347460.505,371909.698,371909.698,371909.698,371909.698,390833.644,390833.644,390833.644,390833.644,411607.221,411607.221,411607.221,411607.221,435852.946,435852.946,435852.946,435852.946,459669.782,459669.782,459669.782,459669.782,471967.578,471967.578,471967.578,471967.578,534033.357,534033.357,534033.357,534033.357
Georgia,136039.438,136039.438,136039.438,136039.438,136071.349,136071.349,136071.349,136071.349,138564.788,138564.788,138564.788,138564.788,145429.681,145429.681,145429.681,145429.681,153738.32,153738.32,153738.32,153738.32,162476.26,162476.26,162476.26,162476.26,171966.831,171966.831,171966.831,171966.831,171680.803,171680.803,171680.803,171680.803,162875.462,162875.462,162875.462,162875.462,164793.994,164793.994,164793.994,164793.994,170990.9,170990.9,170990.9,170990.9,177747.308,177747.308,177747.308,177747.308,183210.265,183210.265,183210.265,183210.265,194116.222,194116.222,194116.222,194116.222,205685.349,205685.349,205685.349,205685.349,216027.162,216027.162,216027.162,216027.162,226835.537,226835.537,226835.537,226835.537,236992.417,236992.417,236992.417,236992.417,249402.757,249402.757,249402.757,249402.757,253619.549,253619.549,253619.549,253619.549,278540.607,278540.607,278540.607,278540.607
