,Date,GDP,State
0,1997-01-01,906.2,WAMINRGSP
1,1998-01-01,1026.9,WAMINRGSP
2,1999-01-01,1109.9,WAMINRGSP
3,2000-01-01,1045.7,WAMINRGSP
4,2001-01-01,800.9,WAMINRGSP
5,2002-01-01,765.7,WAMINRGSP
6,2003-01-01,896.8,WAMINRGSP
7,2004-01-01,784.8,WAMINRGSP
8,2005-01-01,1093.7,WAMINRGSP
9,2006-01-01,1318.0,WAMINRGSP
10,2007-01-01,1107.6,WAMINRGSP
11,2008-01-01,655.9,WAMINRGSP
12,2009-01-01,620.7,WAMINRGSP
13,2010-01-01,579.1,WAMINRGSP
14,2011-01-01,491.3,WAMINRGSP
15,2012-01-01,375.6,WAMINRGSP
16,2013-01-01,429.7,WAMINRGSP
17,2014-01-01,505.1,WAMINRGSP
18,2015-01-01,511.6,WAMINRGSP
19,2016-01-01,578.5,WAMINRGSP
20,2017-01-01,621.5,WAMINRGSP
21,2018-01-01,700.0,WAMINRGSP
22,2019-01-01,544.6,WAMINRGSP
23,2020-01-01,439.6,WAMINRGSP
24,2021-01-01,521.2,WAMINRGSP
25,2022-01-01,480.4,WAMINRGSP
0,1997-01-01,656.5,ARMINRGSP
1,1998-01-01,707.6,ARMINRGSP
2,1999-01-01,706.6,ARMINRGSP
3,2000-01-01,658.1,ARMINRGSP
4,2001-01-01,786.7,ARMINRGSP
5,2002-01-01,734.9,ARMINRGSP
6,2003-01-01,706.5,ARMINRGSP
7,2004-01-01,808.1,ARMINRGSP
8,2005-01-01,852.4,ARMINRGSP
9,2006-01-01,1158.6,ARMINRGSP
10,2007-01-01,1805.6,ARMINRGSP
11,2008-01-01,2374.1,ARMINRGSP
12,2009-01-01,2980.4,ARMINRGSP
13,2010-01-01,2944.2,ARMINRGSP
14,2011-01-01,3206.5,ARMINRGSP
15,2012-01-01,3011.2,ARMINRGSP
16,2013-01-01,2781.5,ARMINRGSP
17,2014-01-01,2764.1,ARMINRGSP
18,2015-01-01,2426.6,ARMINRGSP
19,2016-01-01,1707.3,ARMINRGSP
20,2017-01-01,1321.0,ARMINRGSP
21,2018-01-01,1196.7,ARMINRGSP
22,2019-01-01,1130.0,ARMINRGSP
23,2020-01-01,1157.5,ARMINRGSP
24,2021-01-01,1043.4,ARMINRGSP
25,2022-01-01,938.4,ARMINRGSP
0,1997-01-01,3492.8,ALMINRGSP
1,1998-01-01,3959.8,ALMINRGSP
2,1999-01-01,3606.8,ALMINRGSP
3,2000-01-01,3248.8,ALMINRGSP
4,2001-01-01,3581.5,ALMINRGSP
5,2002-01-01,3294.9,ALMINRGSP
6,2003-01-01,3422.4,ALMINRGSP
7,2004-01-01,3520.5,ALMINRGSP
8,2005-01-01,3715.8,ALMINRGSP
9,2006-01-01,3640.5,ALMINRGSP
10,2007-01-01,4015.7,ALMINRGSP
11,2008-01-01,3532.8,ALMINRGSP
12,2009-01-01,3515.1,ALMINRGSP
13,2010-01-01,3200.7,ALMINRGSP
14,2011-01-01,2799.9,ALMINRGSP
15,2012-01-01,2906.4,ALMINRGSP
16,2013-01-01,2774.4,ALMINRGSP
17,2014-01-01,2408.8,ALMINRGSP
18,2015-01-01,2309.2,ALMINRGSP
19,2016-01-01,2229.9,ALMINRGSP
20,2017-01-01,2920.6,ALMINRGSP
21,2018-01-01,2739.7,ALMINRGSP
22,2019-01-01,2500.6,ALMINRGSP
23,2020-01-01,2373.5,ALMINRGSP
24,2021-01-01,2196.8,ALMINRGSP
25,2022-01-01,2445.8,ALMINRGSP
0,1997-01-01,385.6,MDMINRGSP
1,1998-01-01,451.0,MDMINRGSP
2,1999-01-01,456.6,MDMINRGSP
3,2000-01-01,525.0,MDMINRGSP
4,2001-01-01,557.0,MDMINRGSP
5,2002-01-01,555.3,MDMINRGSP
6,2003-01-01,552.5,MDMINRGSP
7,2004-01-01,575.1,MDMINRGSP
8,2005-01-01,550.1,MDMINRGSP
9,2006-01-01,570.1,MDMINRGSP
10,2007-01-01,560.2,MDMINRGSP
11,2008-01-01,439.0,MDMINRGSP
12,2009-01-01,236.6,MDMINRGSP
13,2010-01-01,421.5,MDMINRGSP
14,2011-01-01,316.6,MDMINRGSP
15,2012-01-01,292.5,MDMINRGSP
16,2013-01-01,259.2,MDMINRGSP
