,Date,GDP,State
0,1997-01-01,518.9,ORCPUSYSDSGNRGSP
1,1998-01-01,620.6,ORCPUSYSDSGNRGSP
2,1999-01-01,643.4,ORCPUSYSDSGNRGSP
3,2000-01-01,740.5,ORCPUSYSDSGNRGSP
4,2001-01-01,718.3,ORCPUSYSDSGNRGSP
5,2002-01-01,580.9,ORCPUSYSDSGNRGSP
6,2003-01-01,667.4,ORCPUSYSDSGNRGSP
7,2004-01-01,781.8,ORCPUSYSDSGNRGSP
8,2005-01-01,787.6,ORCPUSYSDSGNRGSP
9,2006-01-01,840.4,ORCPUSYSDSGNRGSP
10,2007-01-01,931.2,ORCPUSYSDSGNRGSP
11,2008-01-01,1048.3,ORCPUSYSDSGNRGSP
12,2009-01-01,1109.8,ORCPUSYSDSGNRGSP
13,2010-01-01,1248.4,ORCPUSYSDSGNRGSP
14,2011-01-01,1454.5,ORCPUSYSDSGNRGSP
15,2012-01-01,1746.5,ORCPUSYSDSGNRGSP
16,2013-01-01,1944.0,ORCPUSYSDSGNRGSP
17,2014-01-01,2085.1,ORCPUSYSDSGNRGSP
18,2015-01-01,2317.0,ORCPUSYSDSGNRGSP
19,2016-01-01,2533.9,ORCPUSYSDSGNRGSP
20,2017-01-01,2949.5,ORCPUSYSDSGNRGSP
21,2018-01-01,3286.0,ORCPUSYSDSGNRGSP
22,2019-01-01,3434.4,ORCPUSYSDSGNRGSP
23,2020-01-01,3292.6,ORCPUSYSDSGNRGSP
24,2021-01-01,3415.1,ORCPUSYSDSGNRGSP
0,1997-01-01,519.8,INCPUSYSDSGNRGSP
1,1998-01-01,645.9,INCPUSYSDSGNRGSP
2,1999-01-01,729.8,INCPUSYSDSGNRGSP
3,2000-01-01,733.1,INCPUSYSDSGNRGSP
4,2001-01-01,782.9,INCPUSYSDSGNRGSP
5,2002-01-01,764.7,INCPUSYSDSGNRGSP
6,2003-01-01,851.1,INCPUSYSDSGNRGSP
7,2004-01-01,941.5,INCPUSYSDSGNRGSP
8,2005-01-01,1064.8,INCPUSYSDSGNRGSP
9,2006-01-01,1167.3,INCPUSYSDSGNRGSP
10,2007-01-01,1352.1,INCPUSYSDSGNRGSP
11,2008-01-01,1515.9,INCPUSYSDSGNRGSP
12,2009-01-01,1625.5,INCPUSYSDSGNRGSP
13,2010-01-01,1857.1,INCPUSYSDSGNRGSP
14,2011-01-01,2172.2,INCPUSYSDSGNRGSP
15,2012-01-01,2411.9,INCPUSYSDSGNRGSP
16,2013-01-01,2784.3,INCPUSYSDSGNRGSP
17,2014-01-01,2708.8,INCPUSYSDSGNRGSP
18,2015-01-01,3036.1,INCPUSYSDSGNRGSP
19,2016-01-01,3309.6,INCPUSYSDSGNRGSP
20,2017-01-01,3492.6,INCPUSYSDSGNRGSP
21,2018-01-01,3846.0,INCPUSYSDSGNRGSP
22,2019-01-01,4110.4,INCPUSYSDSGNRGSP
23,2020-01-01,4331.4,INCPUSYSDSGNRGSP
24,2021-01-01,4789.4,INCPUSYSDSGNRGSP
0,1997-01-01,782.1,MOCPUSYSDSGNRGSP
1,1998-01-01,1021.9,MOCPUSYSDSGNRGSP
2,1999-01-01,1135.1,MOCPUSYSDSGNRGSP
3,2000-01-01,1127.1,MOCPUSYSDSGNRGSP
4,2001-01-01,1280.7,MOCPUSYSDSGNRGSP
5,2002-01-01,1243.6,MOCPUSYSDSGNRGSP
6,2003-01-01,1327.0,MOCPUSYSDSGNRGSP
7,2004-01-01,1596.4,MOCPUSYSDSGNRGSP
8,2005-01-01,1922.2,MOCPUSYSDSGNRGSP
9,2006-01-01,2055.5,MOCPUSYSDSGNRGSP
10,2007-01-01,2290.5,MOCPUSYSDSGNRGSP
11,2008-01-01,2611.4,MOCPUSYSDSGNRGSP
12,2009-01-01,2715.5,MOCPUSYSDSGNRGSP
13,2010-01-01,2986.7,MOCPUSYSDSGNRGSP
14,2011-01-01,3222.1,MOCPUSYSDSGNRGSP
15,2012-01-01,3924.2,MOCPUSYSDSGNRGSP
16,2013-01-01,4614.7,MOCPUSYSDSGNRGSP
17,2014-01-01,4764.7,MOCPUSYSDSGNRGSP
18,2015-01-01,4975.7,MOCPUSYSDSGNRGSP
19,2016-01-01,5299.7,MOCPUSYSDSGNRGSP
20,2017-01-01,5729.2,MOCPUSYSDSGNRGSP
21,2018-01-01,6393.1,MOCPUSYSDSGNRGSP
22,2019-01-01,6733.7,MOCPUSYSDSGNRGSP
