,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alaska,362.500005,396.7000049999999,421.400006,333.600005,342.10000099999996,396.70000799999997,417.1000073,375.700007,314.2000073,376.80000210000003,412.700011,426.500002,367.30000300000006,384.8,554.400009,398.70000500000003,275.9000043,446.00000000000006,321.60000899999994,410.00001210000005,375.4000050000001,370.6000063,301.9000011,367.40000000000003,307.90000200000003,378.600005,319.500002,295.60000499999995,365.10000099999996,342.6000033,245.20000560000005,373.80000359999997,445.80000200000006,346.20000200000004,424.400005,368.20001,455.000005,419.60000099999996,282.10000700000006,366.50000729999994,409.600002,324.00000309999996,355.400004,474.400001,424.2,483.100005,382.4000053,485.2000123,330.30000129999996,435.90000999999995,329.49999999999994,384.6000029999999,406.000001,317.200001,424.200005,345.300009,326.0000051,380.300001,406.1000093,380.10000199999996,364.70001,358.70000699999997,423.300001,379.20000099999993,367.200001,349.40000009999994,458.7000069999999,428.900001,253.10000810000003,370.40000299999997,377.5000033,380.400003,467.20000200000004,451.70000500000003,263.600002,374.1000049999999,390.700002,296.00000330000006,317.80000200000006,298.000002,361.4000060000001,394.7000021,335.10000199999996,395.000003,447.80000800000005,461.10000800000006,316.7000029999999,374.300002,369.8000011,312.500004,321.400003,328.100006,405.300005,442.40000699999996,395.90000200000003,326.30000099999995,337.10000110000004,324.3000013000001,428.100008,430.10000299999996,438.4000131,356.60000729999996,318.50000229999995,396.100009,341.100003,384.5000113,440.20000400000004,375.10000099999996,310.10000329999997,283.8000063,308.300001,528.4000100000001,372.20000000000005,382.4,280.500001,321.600004,351.100002,435.0000120000001,399.50000800000004,403.000003,479.400002,370.8000033
Alabama,1196.4000049999997,1305.8000220000001,1237.8000100000002,1471.800035,1159.8000190000002,1259.300025,1499.300035,1250.4000050000002,1475.7000249999999,1648.4000260000003,1534.7000099999996,1304.8000300000003,1631.100005,1630.40003,1303.2000049999997,1319.6000000000001,1215.900005,1499.0000240000002,1389.3000149999998,1263.300007,1311.900015,1324.4000199999996,1330.1000099999999,1299.800011,1656.2000119999998,1459.6000150000002,1394.6000069999998,1333.500002,938.4000060000001,1257.100005,1665.500065,1371.2000130000004,1197.30001,1220.3000029999998,1041.300025,1319.4000250000001,1441.600005,1362.100015,1099.300012,1242.6000250000002,1230.600005,1458.70001,1278.4000073,1467.3000000000002,1490.900015,1030.100005,1076.200011,801.0000123,1441.8000100000002,1223.00001,1444.6000069999998,1045.6,1306.60002,1234.5000149999998,1612.0000300000004,1498.800005,1347.000027,1499.5000199999997,1204.600005,1233.900032,1297.600022,1132.000005,1092.5000099999997,1009.7000209999999,1703.9000149999997,1273.900025,1585.800015,1443.3000270000002,1331.5000069999999,1207.6000200000003,1459.900015,1095.800025,1168.5000320000001,1096.600007,1390.20001,1300.500012,1378.700015,1083.400015,1609.4000099999998,1041.4000023,1273.40003,999.30001,1584.4000109999997,1728.30001,1262.800011,1743.6000199999996,1506.0000050000003,1312.8000109999998,1455.9000199999998,1121.400007,1436.100005,1285.900021,1600.0000300000002,1370.3000100000002,1680.3000200000001,1429.90001,1286.0000079999998,1296.3000319999999,1405.1000109999998,899.2000119999999,1462.0000079999998,1476.500005,1376.0000100000002,1413.900005,1483.800007,1172.3000220000001,1397.700025,1468.400005,1417.00001,1216.200002,1117.8000049999998,1410.4000110000002,1399.3999999999999,1325.400012,1538.8,1070.900025,1182.60001,1298.6000200000003,958.9000099999998,1248.3000099999997,1438.4000249999997,1389.800045
Arkansas,1158.100012,1521.6000099999999,952.9000169999999,1161.800015,1138.6000219999999,1345.600005,1596.400017,1241.300012,1266.9000049999997,1201.80002,1071.400022,1150.5000250000003,1482.9000009999997,1266.4000139999998,1250.1000219999999,1027.0,1111.1000050000002,1151.0000320000001,1565.90004,1185.6000099999999,1376.2000119999998,1005.9000143000001,1320.600025,1130.200008,1211.3000011,1345.300017,1496.10001,1118.200002,1242.8000140000001,1361.4000469999996,1519.4000149999997,1253.0000149999998,1233.2000150000001,815.100018,945.300009,1157.1000300000003,1391.3000250000002,1118.700012,996.4000119999998,914.9000009999999,1333.200005,1382.50001,1496.2000150000001,982.600012,1309.8000120000002,1125.90002,1019.20001,1166.4000119999998,1318.200015,944.500012,1292.2000209999999,1532.0000249999998,1473.6000269999997,1385.3000200000001,1131.800012,1264.80001,1274.800005,1266.300002,1068.2000050000001,818.2000109999999,1066.100004,916.0000250000002,1232.40001,1468.400015,1123.3000000000002,1333.2000050000001,1797.1000200000003,1438.400015,1465.700027,1067.800015,1206.30001,1413.300012,1482.400065,1208.300007,1312.9000119999998,1457.2000119999996,1488.00002,1393.400007,1738.900021,1192.4,1535.9000019999999,1429.000019,1426.100045,1264.8000019999997,1342.900022,1535.7000120000002,1306.700015,1366.0000220000002,1268.200006,1139.900012,1318.50002,1238.200015,1238.100017,1315.6000129999998,1367.4000099999996,1187.20001,1121.800014,1288.700001,1068.2000010000002,1054.700013,1322.0000149999998,1126.400007,1232.10002,1732.6000109999998,1685.50002,948.8000069999998,1017.9000069999998,1361.1000069999998,1145.1000119999999,987.7000120000001,1081.300026,1266.700002,1563.200015,1448.9,1383.70002,1127.2,890.2000019999998,1104.8000169999998,1080.500012,1005.600005,1323.80002,1357.200002
Arizona,633.8000049999999,720.3000230000001,590.9000070000001,582.8000003,605.9,693.2000000000002,628.700001,928.4000100000001,552.1999999999999,449.50001,470.100003,392.1000020999999,805.1000000399999,479.100004,352.3000053,480.000003,668.3000150000001,398.9000049999999,352.600004,644.3000070000002,373.40001010000003,407.90000499999996,520.4000010000001,457.6000019999999,328.100003,425.700009,707.7000170000001,581.0,727.200006,614.2000159999999,660.400003,829.600012,651.900011,439.90000634,482.99999999999994,456.20000230000005,358.500009,466.7000020000001,543.700002,271.50000209999996,479.20000630000004,379.80000210000003,615.6000029999999,660.900024,433.000001,549.8000021,582.0000203,704.500001,512.0000021,822.3000119999998,693.5000171,504.40000509999993,490.3000011,356.500001,442.20001,477.30000099999995,522.9000011,426.90001104,784.900011,482.90000100000003,401.100001,366.400005,582.4000090000001,512.200005,471.9000073,539.700003,571.3000070999999,793.7000079999999,521.900007,460.6000021,560.800007,1166.600015,564.8000000000001,509.2000029999999,502.7000100000001,675.2000209999999,573.70001,405.80000299999995,375.500002,479.600002,413.8,609.9000120000001,673.9000081,320.40000499999996,713.90002,498.80000099999995,463.90000109999994,540.8000100999999,592.900005,487.300008,399.000006,417.80001000000004,465.000004,491.60000599999995,519.400006,801.200015,353.9000031,585.4000009999999,623.8000109999999,571.7000033,530.800002,328.00001000000003,417.200005,548.5,680.7000111000001,375.600005,748.900011,446.10000399999996,504.70000200000004,375.300007,422.80000499999994,470.10000099999996,434.300006,486.10000099999996,428.1000132999999,650.6000002999999,504.50000700000004,685.300006,671.0000033,673.400007,452.20000000000005,435.600001
California,514.3000020400001,733.100015,376.200001,460.80000309999997,419.10000109999993,544.900002,554.10001,651.9000000000001,639.1000190000001,425.70000104,513.7000014,266.5000002,496.800009,470.300006,332.00000500000004,465.90000570000007,336.00001,371.200002,575.00000004,433.0000051,274.90000999999995,266.30000400000006,473.300001,313.2000113,322.90000999999995,375.3000031,366.5000043,445.10000110000004,465.80001200000004,469.300001,538.100001,375.90000200000003,459.00000600000004,298.80000199999995,599.0,367.200004,312.300007,394.600005,550.1000059999999,449.40000000000003,418.9,525.900001,706.200006,592.8000049999999,367.50000009999997,566.0000003,485.6000151,574.6000001,280.900001,522.4000003000001,574.6000054,469.400005,315.300001,550.400002,495.900013,411.7000201,256.00000009999997,346.5000001000001,521.8000083000001,464.80000500000006,388.0000051,188.2000001,663.4000053000001,588.400007,515.900001,519.700014,506.3000101,607.5000010000001,480.600006,509.7000100999999,446.90000230000004,693.2000120000001,550.1,371.30001240000007,498.300009,479.40001010000003,358.1000061,489.7000013,617.500007,500.2000001,413.59999999999997,344.90000030000004,379.10000599999995,470.2000105,768.2000351,514.6000112,196.100001,426.20001214,368.20000630000004,319.200009,463.70000029999994,395.00000800000004,456.600006,267.3,384.60000099999996,402.60000610000003,588.7000050000001,299.20000200000004,471.90001099999995,431.40000599999996,232.40000000000003,230.2000071,632.5000000999999,336.2000001,290.8000033,308.200003,655.200005,488.90000000000003,542.700015,372.90001400000006,287.8000023,220.400002,390.6000050399999,488.20000500000003,300.40000399999997,470.7,415.6000061,472.1000074,386.5000063,293.50000700000004,599.4,488.70000429999993
Colorado,490.50000399999993,634.4000080000001,403.30000200000006,503.800004,521.500003,494.90000800000007,463.00000300000005,542.100008,401.200004,491.40000299999997,457.500007,498.40000499999996,481.300003,466.80001400000003,531.800004,481.5,440.000003,443.9000070000001,500.100009,526.200005,511.700007,561.500004,506.4000103000001,471.60000499999995,383.500004,563.8,464.400006,498.8000111,461.2000120000001,500.2000040000001,441.2,571.500004,427.900003,486.300001,516.000006,462.600003,406.4000031,440.100009,524.4000030000001,333.000003,577.500006,526.600012,530.1000049999999,497.80000300000006,417.70000400000004,434.500003,449.00001100000003,455.40000499999996,441.600006,510.30000199999995,593.6000059999999,554.2000119999999,466.400005,454.00000300000005,530.100008,430.10000499999995,444.700011,445.20000300000004,401.900004,445.60000699999995,472.70000500000003,531.400004,558.7000069999999,541.4000000000001,459.0000019999999,547.4,538.900006,515.6000100000001,515.3000030000001,579.6000150000001,380.4000073000001,525.100003,505.200006,506.700003,444.50000499999993,526.900004,564.0000080000001,347.6000013,488.700005,510.20000300000004,391.300001,527.4,501.100005,386.800003,518.6,492.600002,461.40000699999996,430.20000400000004,490.60000199999996,486.4000070000001,516.500004,498.10000299999996,423.900003,560.5000150000001,563.400016,460.400004,343.400003,387.300009,525.3000049999999,450.1000020999999,524.0000060000001,417.700002,515.200005,438.000006,559.800005,348.500004,496.69999999999993,365.400001,433.70000400000004,525.3000033000001,553.300005,514.6000070000001,483.00001000000003,369.500002,500.00000500000004,339.60000299999996,447.600008,457.50000900000003,564.0000050000001,362.200002,427.000002,476.00000499999993
Connecticut,1051.500012,1330.0000069999999,1110.300027,1392.600017,1054.1000169999998,1126.60002,1244.3000069999998,1377.000015,1386.6000199999999,1366.60003,1159.300025,1326.1000049999998,1308.100005,1403.9000250000001,1392.7000249999999,1286.200005,1241.600015,1163.100012,1190.1000159999999,1131.00001,1365.30001,1243.7000153,1089.200015,1299.700027,1541.900007,1490.5000049999999,1301.8000099999997,819.900004,859.600006,1257.4000099999998,1263.60001,1350.500015,789.700011,1227.4000050000002,1104.6000099999999,988.800022,1261.500012,1160.600015,1164.700008,1339.6000199999999,1433.80001,869.600007,1217.6999999999998,1076.100025,1257.8000120000002,1469.6000249999997,1185.300005,1348.8000149999998,1200.70001,926.9000100000001,1382.200005,995.7,1095.600005,1356.5000350000003,1186.000022,1191.1000019999997,1310.8000119999997,1131.600005,1049.800002,1195.50002,1009.9000170000002,1100.400022,969.6000059999999,1238.200015,1170.100005,1394.000015,1408.300037,1012.800007,1119.8000200000001,1236.700017,1299.4000250000001,1163.200025,1322.600015,967.0000059999999,1456.5000169999998,1334.8000300000003,1072.0000220000002,1186.300027,1279.8,1024.200005,1207.600032,1273.1000249999997,1455.8000019999997,1396.5000169999998,1135.000032,1367.80001,1460.10001,1285.6000169999998,1220.90001,1233.30001,1222.700015,1003.800012,1159.100005,1081.200012,924.300002,1477.5000149999998,1340.8000250000002,1371.400017,939.7000099999999,1361.3,988.200007,1271.3000170000003,995.8000240000001,1207.70002,1533.60001,990.8000159999999,1230.800005,1555.500002,1025.700009,1186.700002,1046.600021,1242.5,1152.6000150000002,999.700008,1125.0000269999998,1129.000002,1032.800022,1048.900002,1222.0,1223.200012,1090.700015,1306.80003
District of Columbia,958.2000049999999,1140.3000200000001,1010.600005,1142.0,876.3000079999999,1125.000012,1135.2000099999998,918.5000130000001,1318.100005,1132.700033,1190.2000150000001,1218.4000199999998,1228.3000220000001,1232.000007,1110.0000069999999,1019.4000199999999,1043.700019,1118.200014,1076.100022,982.700008,1075.100017,1117.900005,1192.2000250000003,820.3000119999999,1164.100007,1189.300015,1099.100007,868.200032,751.2000009999999,948.5000070000001,1016.500017,905.4000169999999,822.6000019999999,886.800005,956.500026,919.0000120000002,1031.5000049999999,1070.4999999999998,1015.1000039999999,1070.7000110000001,1109.5000089999996,919.400002,1168.400006,828.7000129999999,931.9000040000001,1284.300002,1031.300011,876.9000090000001,993.4000199999999,707.9,1211.1000099999997,1003.50002,874.500022,1046.300002,1139.9000250000001,1103.70001,1286.8000180000001,821.300007,692.6000070000001,915.2000150000001,751.7000089999999,856.9000110000001,816.6000049999999,1017.200022,1082.90001,976.700019,1212.500012,1357.9000119999998,934.800021,1233.400005,1106.900007,1041.4000079999998,1198.0000200000002,853.8000049999999,1023.8000170000003,1018.8,1109.6000190000002,944.2000149999999,908.1,1017.700007,1162.4000270000001,945.900024,1025.100009,1107.700001,988.500004,1169.1,1221.1000169999998,1103.1,994.6000070000001,1085.000015,1174.6000299999998,1031.2000380000002,1034.00001,1005.8000149999998,831.200009,1247.500005,1193.20001,1118.100025,942.3000099999999,960.700002,890.000005,970.4000149999998,929.8,869.6,1000.40001,866.8000180000001,1035.600017,1056.500005,964.7000140000001,945.50001,772.800005,947.000012,978.90001,953.0000130000001,827.0000009999999,883.9000209999999,836.5000109999999,1121.600005,811.500005,878.10001,1028.2000019999998,1008.1000049999999
Delaware,1001.90001,1412.200022,1118.200026,1146.300015,866.20001,1219.300007,1284.5000149999998,1095.2000200000002,1416.80002,1255.7000070000001,1293.2000289999999,1276.4000219999998,1174.500022,1245.2,1226.4000069999997,1153.600025,1064.10002,1207.200015,1090.900012,1149.5000019999998,1266.4000049999997,1222.400005,1279.400015,1025.70001,1233.300037,1368.500012,1256.50001,833.7000049999999,824.900003,1016.5000070000001,1087.600007,1098.400014,981.7000190000001,1034.0000169999998,1169.2000170000001,952.9000149999999,1192.4000099999998,1141.2000070000001,1088.100005,1215.700015,1299.3000100000004,809.2000050000001,1120.700022,1037.700005,1092.6000119999999,1373.400013,1295.40001,964.100005,1037.000023,839.3000089999999,1292.80003,1043.3999999999999,958.800008,1159.6000119999999,1204.40001,1294.400022,1368.700035,1013.4000120000001,700.3000019999998,1051.7000039999998,877.1000019999999,1022.400002,1028.8999999999999,1040.2000170000001,1136.70001,975.200009,1355.50001,1546.2000299999997,1120.900012,1260.800015,1172.3000089999998,1041.3,1272.4000150000002,994.000014,1241.800024,1154.70001,1379.3999999999999,1072.8000049999998,1078.9000099999998,1079.9000099999998,1296.6000099999999,1220.1000149999998,1226.6000069999998,1428.500025,1163.2000120000002,1345.8000149999998,1513.5000049999999,1367.5000400000001,1277.0000049999999,1095.800005,1205.9000170000002,1012.000002,1307.7000150000001,1148.300007,893.400011,1393.300025,1419.10003,1409.900005,1064.00003,1041.7000150000001,1048.30001,1159.00001,1054.800005,972.4000270000001,1268.200021,871.600005,1195.4,1232.7000300000002,1073.2000170000001,1089.60001,975.8000040000001,1035.600006,1033.900007,1020.300022,928.1000200000001,1086.8000260000001,952.6000020000001,1235.5000149999998,1027.600015,1033.600012,1102.800002,1210.0000049999999
Florida,1241.7000353,1231.5000169999998,1415.4999999999998,1247.5000049999999,1169.0000220000002,1612.4000120000003,1159.0000099999997,1517.0000249999998,1579.0000099999997,1585.500039,1365.5000149999998,1252.100025,1151.900008,1318.500002,1129.500017,1441.70002,1436.5,1297.60002,1341.3000000000002,1274.700006,1322.100002,1552.400011,1489.300035,1474.500002,1859.200007,1317.2000050000001,1410.8000200000001,1256.100007,1086.700007,1238.900037,1418.3000200000001,1031.700017,1323.000015,1507.600026,1351.7000170000001,1308.1000119999999,1122.800012,1379.9000290000001,1315.2,1210.10002,1018.2000150000002,1262.200012,1239.900005,1323.3000140000001,1082.600007,1522.400009,1322.900013,1215.200006,1307.5000069999999,1164.8000149999998,1447.3000169999998,1243.1000219999999,995.0000110999999,1326.20001,1222.0000069999999,1588.0000060000002,1489.3000300000003,1283.200022,1432.4000210000002,1310.80001,1060.700001,1136.900026,1163.1000053,1065.300012,1292.600015,1502.40001,1906.0000449999998,1596.6000100000003,1315.700015,1484.000024,1360.7000099999998,1164.30001,1071.600008,1188.5000049999999,1236.6000159999999,1066.900003,1619.9000170000002,1209.5000330000003,1300.40003,1130.900011,1204.600001,1123.700021,1396.3000200000001,1391.40002,1138.7000340000002,1330.500025,1382.600025,1272.7000099999998,1272.700003,1218.700015,1435.60005,1384.800026,1285.700002,1499.3000120000002,1174.900024,1749.700017,1485.00002,1182.0000080999998,1358.000004,1121.8000109999998,1431.3000169999998,1148.100015,1025.8000169999998,1339.0000019999998,1480.30001,1017.200022,1378.300011,1552.3000049999998,1427.60001,1463.000031,1283.800015,970.5,1120.000018,1337.400025,1220.8000109999998,1345.400015,1313.200022,1664.900015,1274.50001,1430.6000319999998,1321.70003,1285.400027
