StateFIPS,State,Month,Year,Value,Data Comment
1,Alabama,Jan-91,1991,"2,014",
1,Alabama,Feb-91,1991,"3,215",
1,Alabama,Mar-91,1991,"4,099",
1,Alabama,Apr-91,1991,"4,545",
1,Alabama,May-91,1991,"4,955",
1,Alabama,Jun-91,1991,"5,989",
1,Alabama,Jul-91,1991,"6,150",
1,Alabama,Aug-91,1991,"5,566",
1,Alabama,Sep-91,1991,"5,015",
1,Alabama,Oct-91,1991,"3,959",
1,Alabama,Nov-91,1991,"2,748",
1,Alabama,Dec-91,1991,"2,121",
1,Alabama,Jan-92,1992,"2,212",
1,Alabama,Feb-92,1992,"3,131",
1,Alabama,Mar-92,1992,"4,234",
1,Alabama,Apr-92,1992,"5,468",
1,Alabama,May-92,1992,"5,968",
1,Alabama,Jun-92,1992,"5,960",
1,Alabama,Jul-92,1992,"6,052",
1,Alabama,Aug-92,1992,"5,252",
1,Alabama,Sep-92,1992,"4,502",
1,Alabama,Oct-92,1992,"3,914",
1,Alabama,Nov-92,1992,"2,619",
1,Alabama,Dec-92,1992,"1,959",
1,Alabama,Jan-93,1993,"2,243",
1,Alabama,Feb-93,1993,"3,204",
1,Alabama,Mar-93,1993,"4,064",
1,Alabama,Apr-93,1993,"5,419",
1,Alabama,May-93,1993,"5,990",
1,Alabama,Jun-93,1993,"6,388",
1,Alabama,Jul-93,1993,"6,718",
1,Alabama,Aug-93,1993,"5,731",
1,Alabama,Sep-93,1993,"4,977",
1,Alabama,Oct-93,1993,"3,539",
1,Alabama,Nov-93,1993,"2,765",
1,Alabama,Dec-93,1993,"2,245",
1,Alabama,Jan-94,1994,"2,388",
1,Alabama,Feb-94,1994,"3,165",
1,Alabama,Mar-94,1994,"4,303",
1,Alabama,Apr-94,1994,"5,539",
1,Alabama,May-94,1994,"6,088",
1,Alabama,Jun-94,1994,"5,902",
1,Alabama,Jul-94,1994,"5,615",
1,Alabama,Aug-94,1994,"5,710",
1,Alabama,Sep-94,1994,"4,942",
1,Alabama,Oct-94,1994,"3,324",
1,Alabama,Nov-94,1994,"2,847",
1,Alabama,Dec-94,1994,"2,177",
1,Alabama,Jan-95,1995,"2,523",
1,Alabama,Feb-95,1995,"3,180",
1,Alabama,Mar-95,1995,"4,243",
1,Alabama,Apr-95,1995,"5,569",
1,Alabama,May-95,1995,"5,900",
1,Alabama,Jun-95,1995,"6,480",
1,Alabama,Jul-95,1995,"6,407",
1,Alabama,Aug-95,1995,"5,840",
1,Alabama,Sep-95,1995,"4,903",
1,Alabama,Oct-95,1995,"3,807",
1,Alabama,Nov-95,1995,"2,774",
1,Alabama,Dec-95,1995,"2,272",
1,Alabama,Jan-96,1996,"2,465",
1,Alabama,Feb-96,1996,"3,223",
1,Alabama,Mar-96,1996,"4,185",
1,Alabama,Apr-96,1996,"5,337",
1,Alabama,May-96,1996,"6,270",
1,Alabama,Jun-96,1996,"6,346",
1,Alabama,Jul-96,1996,"6,277",
1,Alabama,Aug-96,1996,"5,703",
1,Alabama,Sep-96,1996,"4,756",
1,Alabama,Oct-96,1996,"3,888",
1,Alabama,Nov-96,1996,"2,723",
1,Alabama,Dec-96,1996,"2,392",
1,Alabama,Jan-97,1997,"2,460",
1,Alabama,Feb-97,1997,"2,905",
1,Alabama,Mar-97,1997,"4,496",
1,Alabama,Apr-97,1997,"5,328",
1,Alabama,May-97,1997,"5,652",
1,Alabama,Jun-97,1997,"5,366",
1,Alabama,Jul-97,1997,"6,170",
1,Alabama,Aug-97,1997,"5,746",
1,Alabama,Sep-97,1997,"5,135",
1,Alabama,Oct-97,1997,"3,974",
1,Alabama,Nov-97,1997,"2,709",
1,Alabama,Dec-97,1997,"2,313",
1,Alabama,Jan-98,1998,"2,485",
1,Alabama,Feb-98,1998,"3,319",
1,Alabama,Mar-98,1998,"4,257",
1,Alabama,Apr-98,1998,"4,944",
1,Alabama,May-98,1998,"6,501",
1,Alabama,Jun-98,1998,"6,684",
1,Alabama,Jul-98,1998,"5,981",
1,Alabama,Aug-98,1998,"5,874",
1,Alabama,Sep-98,1998,"4,811",
1,Alabama,Oct-98,1998,"4,364",
1,Alabama,Nov-98,1998,"2,739",
1,Alabama,Dec-98,1998,"2,188",
1,Alabama,Jan-99,1999,"2,600",
1,Alabama,Feb-99,1999,"3,556",
1,Alabama,Mar-99,1999,"4,734",
1,Alabama,Apr-99,1999,"5,582",
1,Alabama,May-99,1999,"6,282",
1,Alabama,Jun-99,1999,"5,597",
1,Alabama,Jul-99,1999,"6,224",
1,Alabama,Aug-99,1999,"6,153",
1,Alabama,Sep-99,1999,"4,951",
1,Alabama,Oct-99,1999,"4,182",
1,Alabama,Nov-99,1999,"3,370",
1,Alabama,Dec-99,1999,"2,623",
1,Alabama,Jan-00,2000,"2,593",
1,Alabama,Feb-00,2000,"4,054",
1,Alabama,Mar-00,2000,"4,661",
1,Alabama,Apr-00,2000,"5,454",
1,Alabama,May-00,2000,"6,631",
1,Alabama,Jun-00,2000,"6,340",
1,Alabama,Jul-00,2000,"6,558",
1,Alabama,Aug-00,2000,"5,964",
1,Alabama,Sep-00,2000,"4,496",
1,Alabama,Oct-00,2000,"4,583",
1,Alabama,Nov-00,2000,"2,601",
1,Alabama,Dec-00,2000,"2,320",
1,Alabama,Jan-01,2001,"2,741",
1,Alabama,Feb-01,2001,"3,181",
1,Alabama,Mar-01,2001,"4,025",
1,Alabama,Apr-01,2001,"5,736",
1,Alabama,May-01,2001,"6,403",
1,Alabama,Jun-01,2001,"5,830",
1,Alabama,Jul-01,2001,"6,186",
1,Alabama,Aug-01,2001,"5,176",
1,Alabama,Sep-01,2001,"4,846",
1,Alabama,Oct-01,2001,"4,412",
1,Alabama,Nov-01,2001,"3,360",
1,Alabama,Dec-01,2001,"2,613",
1,Alabama,Jan-02,2002,"2,609",
1,Alabama,Feb-02,2002,"3,896",
1,Alabama,Mar-02,2002,"4,296",
1,Alabama,Apr-02,2002,"5,406",
1,Alabama,May-02,2002,"6,209",
1,Alabama,Jun-02,2002,"6,252",
1,Alabama,Jul-02,2002,"6,139",
1,Alabama,Aug-02,2002,"5,884",
1,Alabama,Sep-02,2002,"4,232",
1,Alabama,Oct-02,2002,"3,118",
1,Alabama,Nov-02,2002,"2,880",
1,Alabama,Dec-02,2002,"2,385",
1,Alabama,Jan-03,2003,"2,889",
1,Alabama,Feb-03,2003,"2,966",
1,Alabama,Mar-03,2003,"4,023",
1,Alabama,Apr-03,2003,"5,445",
1,Alabama,May-03,2003,"5,433",
1,Alabama,Jun-03,2003,"5,817",
1,Alabama,Jul-03,2003,"5,748",
1,Alabama,Aug-03,2003,"5,594",
1,Alabama,Sep-03,2003,"5,222",
1,Alabama,Oct-03,2003,"3,873",
1,Alabama,Nov-03,2003,"3,168",
1,Alabama,Dec-03,2003,"2,604",
1,Alabama,Jan-04,2004,"2,635",
