,Date,GDP,State
0,2005-01-01,33407.1,WYRQGSP
1,2005-04-01,34028.5,WYRQGSP
2,2005-07-01,33065.6,WYRQGSP
3,2005-10-01,33434.8,WYRQGSP
4,2006-01-01,35812.4,WYRQGSP
5,2006-04-01,37271.1,WYRQGSP
6,2006-07-01,38626.6,WYRQGSP
7,2006-10-01,39543.7,WYRQGSP
8,2007-01-01,40073.4,WYRQGSP
9,2007-04-01,40549.5,WYRQGSP
10,2007-07-01,40652.2,WYRQGSP
11,2007-10-01,41253.9,WYRQGSP
12,2008-01-01,41601.8,WYRQGSP
13,2008-04-01,41808.4,WYRQGSP
14,2008-07-01,42409.8,WYRQGSP
15,2008-10-01,45652.8,WYRQGSP
16,2009-01-01,45030.2,WYRQGSP
17,2009-04-01,41896.7,WYRQGSP
18,2009-07-01,40378.4,WYRQGSP
19,2009-10-01,38880.3,WYRQGSP
20,2010-01-01,39445.9,WYRQGSP
21,2010-04-01,40063.2,WYRQGSP
22,2010-07-01,40517.5,WYRQGSP
23,2010-10-01,40200.0,WYRQGSP
24,2011-01-01,39567.3,WYRQGSP
25,2011-04-01,39644.0,WYRQGSP
26,2011-07-01,39565.5,WYRQGSP
27,2011-10-01,40295.0,WYRQGSP
28,2012-01-01,39489.8,WYRQGSP
29,2012-04-01,39508.9,WYRQGSP
30,2012-07-01,38339.9,WYRQGSP
31,2012-10-01,38083.1,WYRQGSP
32,2013-01-01,39059.0,WYRQGSP
33,2013-04-01,38544.0,WYRQGSP
34,2013-07-01,38692.7,WYRQGSP
35,2013-10-01,39102.6,WYRQGSP
36,2014-01-01,38787.7,WYRQGSP
37,2014-04-01,39313.5,WYRQGSP
38,2014-07-01,39804.0,WYRQGSP
39,2014-10-01,40332.5,WYRQGSP
40,2015-01-01,41067.7,WYRQGSP
41,2015-04-01,39970.4,WYRQGSP
42,2015-07-01,40523.4,WYRQGSP
43,2015-10-01,40111.1,WYRQGSP
44,2016-01-01,39924.7,WYRQGSP
45,2016-04-01,38295.4,WYRQGSP
46,2016-07-01,37562.0,WYRQGSP
47,2016-10-01,36972.8,WYRQGSP
48,2017-01-01,37162.5,WYRQGSP
49,2017-04-01,37796.7,WYRQGSP
50,2017-07-01,37545.3,WYRQGSP
51,2017-10-01,37582.1,WYRQGSP
52,2018-01-01,37913.4,WYRQGSP
53,2018-04-01,38072.0,WYRQGSP
54,2018-07-01,38114.5,WYRQGSP
55,2018-10-01,38220.6,WYRQGSP
56,2019-01-01,38041.9,WYRQGSP
57,2019-04-01,38095.1,WYRQGSP
58,2019-07-01,38724.8,WYRQGSP
59,2019-10-01,38924.8,WYRQGSP
60,2020-01-01,38411.0,WYRQGSP
61,2020-04-01,34787.3,WYRQGSP
62,2020-07-01,36185.8,WYRQGSP
63,2020-10-01,35690.3,WYRQGSP
64,2021-01-01,36417.6,WYRQGSP
65,2021-04-01,36362.8,WYRQGSP
66,2021-07-01,36354.5,WYRQGSP
67,2021-10-01,36465.2,WYRQGSP
68,2022-01-01,36341.1,WYRQGSP
69,2022-04-01,35899.8,WYRQGSP
70,2022-07-01,36369.9,WYRQGSP
71,2022-10-01,36773.4,WYRQGSP
0,2005-01-01,65341.8,WVRQGSP
1,2005-04-01,66167.6,WVRQGSP
2,2005-07-01,65491.4,WVRQGSP
3,2005-10-01,65712.8,WVRQGSP
4,2006-01-01,66583.1,WVRQGSP
5,2006-04-01,66945.9,WVRQGSP
6,2006-07-01,66904.8,WVRQGSP
7,2006-10-01,67011.9,WVRQGSP
8,2007-01-01,66603.2,WVRQGSP
9,2007-04-01,66999.8,WVRQGSP
10,2007-07-01,67443.6,WVRQGSP
11,2007-10-01,67429.7,WVRQGSP
12,2008-01-01,67405.9,WVRQGSP
13,2008-04-01,68246.0,WVRQGSP
14,2008-07-01,68670.8,WVRQGSP
15,2008-10-01,69612.8,WVRQGSP
16,2009-01-01,69367.1,WVRQGSP
17,2009-04-01,68231.2,WVRQGSP
18,2009-07-01,67415.3,WVRQGSP
19,2009-10-01,67753.5,WVRQGSP
20,2010-01-01,67289.4,WVRQGSP
21,2010-04-01,68671.3,WVRQGSP
22,2010-07-01,70530.0,WVRQGSP
23,2010-10-01,70123.3,WVRQGSP
24,2011-01-01,68941.4,WVRQGSP
25,2011-04-01,70436.0,WVRQGSP
26,2011-07-01,70595.9,WVRQGSP
27,2011-10-01,71471.8,WVRQGSP
28,2012-01-01,70892.1,WVRQGSP
29,2012-04-01,71193.9,WVRQGSP
30,2012-07-01,70028.5,WVRQGSP
31,2012-10-01,69174.4,WVRQGSP
32,2013-01-01,70595.6,WVRQGSP
33,2013-04-01,70416.9,WVRQGSP
34,2013-07-01,70428.6,WVRQGSP
35,2013-10-01,70759.4,WVRQGSP
36,2014-01-01,69447.0,WVRQGSP
37,2014-04-01,70602.5,WVRQGSP
38,2014-07-01,70949.5,WVRQGSP
39,2014-10-01,71130.7,WVRQGSP
40,2015-01-01,70921.6,WVRQGSP
41,2015-04-01,70755.7,WVRQGSP
42,2015-07-01,70552.5,WVRQGSP
43,2015-10-01,70422.3,WVRQGSP
44,2016-01-01,70475.9,WVRQGSP
45,2016-04-01,69895.7,WVRQGSP
46,2016-07-01,69925.3,WVRQGSP
47,2016-10-01,69748.5,WVRQGSP
48,2017-01-01,71545.4,WVRQGSP
49,2017-04-01,71117.5,WVRQGSP
50,2017-07-01,71492.0,WVRQGSP
51,2017-10-01,71547.7,WVRQGSP
52,2018-01-01,72031.9,WVRQGSP
53,2018-04-01,73092.9,WVRQGSP
54,2018-07-01,73879.9,WVRQGSP
55,2018-10-01,73677.0,WVRQGSP
56,2019-01-01,72387.6,WVRQGSP
57,2019-04-01,72585.7,WVRQGSP
58,2019-07-01,73012.6,WVRQGSP
59,2019-10-01,72547.7,WVRQGSP
60,2020-01-01,72709.9,WVRQGSP
61,2020-04-01,66410.5,WVRQGSP
62,2020-07-01,71330.2,WVRQGSP
63,2020-10-01,71326.3,WVRQGSP
64,2021-01-01,71199.7,WVRQGSP
65,2021-04-01,71156.3,WVRQGSP
66,2021-07-01,71112.1,WVRQGSP
67,2021-10-01,71904.8,WVRQGSP
68,2022-01-01,70877.6,WVRQGSP
69,2022-04-01,71130.2,WVRQGSP
70,2022-07-01,71840.3,WVRQGSP
71,2022-10-01,72761.4,WVRQGSP
0,2005-01-01,261144.0,WIRQGSP
1,2005-04-01,263150.4,WIRQGSP
2,2005-07-01,266338.0,WIRQGSP
3,2005-10-01,264162.0,WIRQGSP
4,2006-01-01,267734.4,WIRQGSP
5,2006-04-01,268156.5,WIRQGSP
6,2006-07-01,268477.0,WIRQGSP
7,2006-10-01,268617.8,WIRQGSP
8,2007-01-01,268832.6,WIRQGSP
9,2007-04-01,269463.8,WIRQGSP
10,2007-07-01,270768.7,WIRQGSP
11,2007-10-01,270669.4,WIRQGSP
12,2008-01-01,268392.0,WIRQGSP
13,2008-04-01,269644.2,WIRQGSP
14,2008-07-01,267264.2,WIRQGSP
15,2008-10-01,261207.3,WIRQGSP
16,2009-01-01,255384.8,WIRQGSP
17,2009-04-01,257171.4,WIRQGSP
18,2009-07-01,259541.8,WIRQGSP
19,2009-10-01,262946.9,WIRQGSP
20,2010-01-01,262217.8,WIRQGSP
21,2010-04-01,265202.6,WIRQGSP
22,2010-07-01,268475.0,WIRQGSP
23,2010-10-01,271427.8,WIRQGSP
24,2011-01-01,269737.2,WIRQGSP
25,2011-04-01,271863.8,WIRQGSP
26,2011-07-01,273837.5,WIRQGSP
27,2011-10-01,275814.4,WIRQGSP
28,2012-01-01,278670.0,WIRQGSP
29,2012-04-01,278550.6,WIRQGSP
30,2012-07-01,276109.4,WIRQGSP
31,2012-10-01,275098.5,WIRQGSP
32,2013-01-01,277216.7,WIRQGSP
33,2013-04-01,276695.2,WIRQGSP
34,2013-07-01,278106.9,WIRQGSP
35,2013-10-01,280041.0,WIRQGSP
36,2014-01-01,279115.5,WIRQGSP
37,2014-04-01,284671.9,WIRQGSP
38,2014-07-01,285733.2,WIRQGSP
39,2014-10-01,286403.9,WIRQGSP
40,2015-01-01,287242.2,WIRQGSP
41,2015-04-01,288980.0,WIRQGSP
42,2015-07-01,289567.7,WIRQGSP
43,2015-10-01,290518.1,WIRQGSP
44,2016-01-01,290669.1,WIRQGSP
45,2016-04-01,291545.2,WIRQGSP
46,2016-07-01,293539.2,WIRQGSP
47,2016-10-01,291927.6,WIRQGSP
48,2017-01-01,290879.1,WIRQGSP
49,2017-04-01,290115.7,WIRQGSP
50,2017-07-01,293229.9,WIRQGSP
51,2017-10-01,293466.1,WIRQGSP
52,2018-01-01,297785.8,WIRQGSP
53,2018-04-01,297405.5,WIRQGSP
54,2018-07-01,299852.1,WIRQGSP
55,2018-10-01,301207.0,WIRQGSP
56,2019-01-01,301679.0,WIRQGSP
57,2019-04-01,303440.2,WIRQGSP
58,2019-07-01,303781.9,WIRQGSP
59,2019-10-01,305775.0,WIRQGSP
