States,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Alabama,2.4489995159276087e-07,2.444061017215011e-07,2.402935164879399e-07,2.2620556313771364e-07,2.1780734644953502e-07,2.1748193357321783e-07,2.1674783437163246e-07,2.219378970390136e-07,2.3063120828358127e-07,2.2730144903333836e-07,2.2393845906242286e-07,2.2188110153213682e-07,2.1703718268528326e-07,2.1927804955145946e-07,2.1876995084309916e-07,2.1619494580659347e-07,2.1433201168838008e-07,2.1180268141640753e-07,2.1091120775913481e-07,2.2612293794374082e-07,2.139154861069845e-07
Arizona,1.9435214787306817e-07,1.8854180342262425e-07,1.8104174402445015e-07,1.774271561447092e-07,1.6740385378992866e-07,1.6270730249596475e-07,1.589604884617739e-07,1.6171089964476697e-07,1.738140272692263e-07,1.724008871086549e-07,1.7086361610282554e-07,1.679671382257589e-07,1.648326798080057e-07,1.6310200767138068e-07,1.6010044312948887e-07,1.5498525303643078e-07,1.5104134977581447e-07,1.4739420739201914e-07,1.4448963260636935e-07,1.529187015127765e-07,1.4701446360433753e-07
Arkansas,3.8602766767634287e-07,3.787953406850807e-07,3.6715119492827383e-07,3.549899295301856e-07,3.4400694483411945e-07,3.3782494099093507e-07,3.4679248965253663e-07,3.502168357624555e-07,3.66041385279787e-07,3.5722977933025573e-07,3.5246922276187243e-07,3.5233901823266394e-07,3.4391882523031106e-07,3.4419843739506143e-07,3.471951016582503e-07,3.488893215747228e-07,3.507810694662304e-07,3.4460939172325864e-07,3.454064993999771e-07,3.6330765825850886e-07,3.465183711437144e-07
California,3.003936802118216e-08,2.920060325870244e-08,2.843411995590949e-08,2.8108320896645426e-08,2.720597984034009e-08,2.6677371827768305e-08,2.661432764829359e-08,2.6475612914784132e-08,2.7281203200205865e-08,2.7268409528370892e-08,2.7187052137385717e-08,2.6872413392971566e-08,2.572115825243125e-08,2.528255098464364e-08,2.494303848156413e-08,2.450310044154148e-08,2.4134554843217012e-08,2.3635918630007235e-08,2.3449941944541844e-08,2.6316369781946956e-08,2.5417990480193125e-08
Colorado,2.03282559114881e-07,2.0000631515795788e-07,1.9855552411326365e-07,1.9726968876489465e-07,1.8842423602829376e-07,1.8700458678330704e-07,1.827194184663499e-07,1.8006603271041215e-07,1.865279983059193e-07,1.853192525596186e-07,1.8347306947133278e-07,1.8265455447901565e-07,1.7413881334494875e-07,1.703287366585407e-07,1.689380586434756e-07,1.6569282023038286e-07,1.6300426885937968e-07,1.5835326148720044e-07,1.5669090703555354e-07,1.703430912124904e-07,1.6170840786094952e-07
Connecticut,2.744652095649604e-07,2.704326680261798e-07,2.7043875229292083e-07,2.610991585058783e-07,2.580420691315335e-07,2.494171136523722e-07,2.474154805541213e-07,2.443951706057836e-07,2.476352464971814e-07,2.533659991478483e-07,2.6224627260316685e-07,2.577083157785066e-07,2.581884369407753e-07,2.592042887788578e-07,2.5253595737448926e-07,2.4981956632961695e-07,2.454878221300073e-07,2.4200226490856415e-07,2.418101292627652e-07,2.726670776867846e-07,2.608621050204561e-07
Delaware,8.336280075754782e-07,8.720167529879165e-07,8.588246889554818e-07,8.273405811071062e-07,8.555897494894877e-07,8.388854251246955e-07,8.356414097165305e-07,8.577203668242583e-07,8.257605484557397e-07,8.367618867502816e-07,8.228318359126771e-07,8.296741539517533e-07,8.432145854735061e-07,7.784687812249926e-07,7.507727991389703e-07,7.752144762454041e-07,8.173639325061308e-07,7.872431524644476e-07,7.602208422111781e-07,8.238347846043055e-07,7.945293247905372e-07
District of Columbia,8.543019945631994e-07,8.282953968492338e-07,8.169195384892053e-07,7.971914185283024e-07,7.858829517978592e-07,7.960397163120567e-07,7.831709413192245e-07,7.69052177714794e-07,7.713896023734146e-07,7.555566860643128e-07,7.429937373781559e-07,7.380992715568355e-07,7.251084991195224e-07,7.19149919691562e-07,7.075094278145206e-07,6.90180996940962e-07,6.94547951682446e-07,6.864248778829465e-07,6.809532275673168e-07,7.398770038695412e-07,7.297952437195168e-07
Florida,6.07888974385551e-08,5.8635435904177554e-08,5.6807722354797285e-08,5.441437506978482e-08,5.213558254925715e-08,5.12775211125883e-08,5.077982017662935e-08,5.314528294347943e-08,5.570958675370978e-08,5.566928793356369e-08,5.6025899051956993e-08,5.550225099384108e-08,5.3771368757219725e-08,5.26046727668346e-08,5.091798209373289e-08,4.933642068384989e-08,4.8303134943736894e-08,4.738117204225205e-08,4.655512248511372e-08,5.0028350712098966e-08,4.800732869194525e-08
Georgia,1.1067310705865492e-07,1.0926114649292022e-07,1.0691343998795013e-07,1.038044640360544e-07,1.0036512512139389e-07,9.942967708629915e-08,1.0051803321351467e-07,1.0227495427227593e-07,1.0474356357613501e-07,1.04998597196354e-07,1.0445868785154033e-07,1.0332882426863931e-07,1.0061262675555693e-07,9.822491992622418e-08,9.510598873491818e-08,9.255100980427789e-08,9.095690801237832e-08,8.880973440749683e-08,8.662014051889325e-08,9.415027236648575e-08,8.999360782525954e-08
