Florida Billion-Dollar Disasters By Year (CPI-Adjusted)
Cost ranges are in millions of dollars
Year,"Drought Count","Drought Cost Range","Flooding Count","Flooding Cost Range","Freeze Count","Freeze Cost Range","Severe Storm Count","Severe Storm Cost Range","Tropical Cyclone Count","Tropical Cyclone Cost Range","Wildfire Count","Wildfire Cost Range","Winter Storm Count","Winter Storm Cost Range","All Disasters Count","All Disasters Cost Range"
1980,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1981,0,0-0,0,0-0,1,1000-2000,0,0-0,0,0-0,0,0-0,0,0-0,1,1000-2000
1982,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,1,5-100
1983,0,0-0,1,5-100,1,2000-5000,0,0-0,0,0-0,0,0-0,0,0-0,2,2000-5000
1984,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,1,5-100
1985,0,0-0,0,0-0,1,2000-5000,0,0-0,2,1000-2000,0,0-0,1,5-100,4,5000-10000
1986,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1987,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1988,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1989,0,0-0,0,0-0,1,2000-5000,0,0-0,0,0-0,0,0-0,1,5-100,2,5000-10000
1990,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1991,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1992,0,0-0,0,0-0,0,0-0,1,1000-2000,1,50000-100000,0,0-0,0,0-0,2,50000-100000
1993,1,100-250,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,2000-5000,2,2000-5000
1994,0,0-0,0,0-0,0,0-0,0,0-0,1,100-250,0,0-0,0,0-0,1,100-250
1995,0,0-0,0,0-0,0,0-0,0,0-0,2,5000-10000,0,0-0,0,0-0,2,5000-10000
1996,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1997,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1998,1,250-500,0,0-0,0,0-0,1,250-500,1,1000-2000,0,0-0,0,0-0,3,2000-5000
1999,1,100-250,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,1,5-100,3,250-500
2000,1,250-500,1,1000-2000,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,2,1000-2000
2001,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,1,5-100
2002,0,0-0,0,0-0,0,0-0,0,0-0,1,100-250,0,0-0,0,0-0,1,100-250
2003,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,1,5-100
2004,0,0-0,0,0-0,0,0-0,0,0-0,4,50000-100000,0,0-0,0,0-0,4,50000-100000
2005,0,0-0,0,0-0,0,0-0,1,100-250,4,20000-50000,0,0-0,0,0-0,5,20000-50000
2006,1,100-250,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,2,250-500
2007,1,100-250,0,0-0,0,0-0,0,0-0,0,0-0,1,100-250,0,0-0,2,250-500
2008,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,1,5-100
2009,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
2010,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
2011,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,2,5-100
2012,0,0-0,0,0-0,0,0-0,0,0-0,1,100-250,0,0-0,0,0-0,1,100-250
2013,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
2014,0,0-0,0,0-0,0,0-0,1,250-500,0,0-0,0,0-0,0,0-0,1,250-500
2015,0,0-0,0,0-0,0,0-0,2,100-250,0,0-0,0,0-0,0,0-0,2,100-250
2016,0,0-0,0,0-0,0,0-0,2,100-250,1,2000-5000,0,0-0,0,0-0,3,2000-5000
2017,0,0-0,0,0-0,1,100-250,2,100-250,1,20000-50000,0,0-0,0,0-0,4,20000-50000
2018,0,0-0,0,0-0,0,0-0,2,100-250,1,20000-50000,0,0-0,0,0-0,3,20000-50000
2019,0,0-0,0,0-0,0,0-0,0,0-0,1,250-500,0,0-0,0,0-0,1,250-500
2020,0,0-0,0,0-0,0,0-0,4,500-1000,3,2000-5000,0,0-0,0,0-0,7,5000-10000
2021,0,0-0,0,0-0,0,0-0,0,0-0,4,500-1000,0,0-0,0,0-0,4,500-1000
2022,0,0-0,0,0-0,0,0-0,2,250-500,2,100000-200000,0,0-0,0,0-0,4,100000-200000
2023,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,1,5-100
