Georgia Billion-Dollar Disasters By Year (CPI-Adjusted)
Cost ranges are in millions of dollars
Year,"Drought Count","Drought Cost Range","Flooding Count","Flooding Cost Range","Freeze Count","Freeze Cost Range","Severe Storm Count","Severe Storm Cost Range","Tropical Cyclone Count","Tropical Cyclone Cost Range","Wildfire Count","Wildfire Cost Range","Winter Storm Count","Winter Storm Cost Range","All Disasters Count","All Disasters Cost Range"
1980,1,1000-2000,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,1000-2000
1981,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1982,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,1,5-100
1983,1,500-1000,0,0-0,1,100-250,0,0-0,0,0-0,0,0-0,0,0-0,2,500-1000
1984,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,1,5-100
1985,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,100-250,1,100-250
1986,1,500-1000,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,500-1000
1987,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1988,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1989,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,1,5-100,2,5-100
1990,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1991,0,0-0,0,0-0,0,0-0,1,100-250,0,0-0,0,0-0,0,0-0,1,100-250
1992,0,0-0,0,0-0,0,0-0,1,100-250,0,0-0,0,0-0,0,0-0,1,100-250
1993,1,500-1000,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,1000-2000,2,1000-2000
1994,0,0-0,0,0-0,0,0-0,0,0-0,1,1000-2000,0,0-0,1,5-100,2,1000-2000
1995,1,250-500,0,0-0,0,0-0,0,0-0,1,1000-2000,0,0-0,0,0-0,2,1000-2000
1996,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1997,0,0-0,0,0-0,0,0-0,1,100-250,0,0-0,0,0-0,0,0-0,1,100-250
1998,1,500-1000,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,2,500-1000
1999,1,500-1000,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,1,100-250,3,500-1000
2000,1,500-1000,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,100-250,2,500-1000
2001,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
2002,1,250-500,0,0-0,0,0-0,2,100-250,0,0-0,1,5-100,0,0-0,4,500-1000
2003,0,0-0,0,0-0,0,0-0,2,100-250,0,0-0,0,0-0,0,0-0,2,100-250
2004,0,0-0,0,0-0,0,0-0,0,0-0,3,2000-5000,0,0-0,0,0-0,3,2000-5000
2005,0,0-0,0,0-0,0,0-0,1,5-100,2,250-500,0,0-0,0,0-0,3,250-500
2006,1,250-500,0,0-0,0,0-0,1,100-250,0,0-0,0,0-0,0,0-0,2,500-1000
2007,1,250-500,0,0-0,1,500-1000,1,5-100,0,0-0,1,100-250,0,0-0,4,1000-2000
2008,1,250-500,0,0-0,0,0-0,1,1000-2000,0,0-0,0,0-0,0,0-0,2,1000-2000
2009,0,0-0,1,1000-2000,0,0-0,2,500-1000,0,0-0,0,0-0,0,0-0,3,2000-5000
2010,0,0-0,1,5-100,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,2,100-250
2011,1,500-1000,0,0-0,0,0-0,5,1000-2000,1,5-100,0,0-0,0,0-0,7,2000-5000
2012,1,5-100,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,2,100-250
2013,0,0-0,0,0-0,0,0-0,2,500-1000,0,0-0,0,0-0,0,0-0,2,500-1000
2014,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,1,100-250,2,250-500
2015,0,0-0,1,5-100,0,0-0,2,100-250,0,0-0,0,0-0,1,5-100,4,250-500
2016,1,5-100,0,0-0,0,0-0,2,100-250,1,1000-2000,1,5-100,0,0-0,5,1000-2000
2017,0,0-0,0,0-0,1,250-500,3,500-1000,1,1000-2000,0,0-0,0,0-0,5,2000-5000
2018,0,0-0,0,0-0,0,0-0,3,250-500,2,5000-10000,0,0-0,1,5-100,6,5000-10000
2019,0,0-0,0,0-0,0,0-0,1,5-100,1,5-100,0,0-0,0,0-0,2,100-250
2020,0,0-0,0,0-0,0,0-0,5,500-1000,5,2000-5000,0,0-0,0,0-0,10,2000-5000
2021,0,0-0,0,0-0,0,0-0,3,500-1000,3,250-500,0,0-0,0,0-0,6,500-1000
2022,0,0-0,0,0-0,0,0-0,3,500-1000,2,100-250,0,0-0,1,500-1000,6,1000-2000
2023,0,0-0,0,0-0,0,0-0,3,500-1000,0,0-0,0,0-0,0,0-0,3,500-1000
