Louisiana Billion-Dollar Disasters By Year (CPI-Adjusted)
Cost ranges are in millions of dollars
Year,"Drought Count","Drought Cost Range","Flooding Count","Flooding Cost Range","Freeze Count","Freeze Cost Range","Severe Storm Count","Severe Storm Cost Range","Tropical Cyclone Count","Tropical Cyclone Cost Range","Wildfire Count","Wildfire Cost Range","Winter Storm Count","Winter Storm Cost Range","All Disasters Count","All Disasters Cost Range"
1980,1,500-1000,1,2000-5000,0,0-0,0,0-0,1,500-1000,0,0-0,0,0-0,3,2000-5000
1981,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,1,5-100
1982,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,1,5-100,2,5-100
1983,1,500-1000,1,2000-5000,1,100-250,0,0-0,0,0-0,0,0-0,0,0-0,3,2000-5000
1984,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1985,0,0-0,0,0-0,0,0-0,0,0-0,2,2000-5000,0,0-0,1,5-100,3,2000-5000
1986,1,250-500,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,250-500
1987,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1988,1,1000-2000,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,1000-2000
1989,0,0-0,0,0-0,0,0-0,1,250-500,1,250-500,0,0-0,1,100-250,3,500-1000
1990,0,0-0,1,250-500,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,250-500
1991,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1992,0,0-0,0,0-0,0,0-0,2,100-250,1,2000-5000,0,0-0,0,0-0,3,2000-5000
1993,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,250-500,1,250-500
1994,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,1,5-100
1995,1,5-100,0,0-0,0,0-0,1,5000-10000,0,0-0,0,0-0,0,0-0,2,5000-10000
1996,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1997,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1998,1,250-500,0,0-0,0,0-0,1,100-250,2,250-500,0,0-0,0,0-0,4,500-1000
1999,1,100-250,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,1,5-100,3,250-500
2000,1,250-500,0,0-0,0,0-0,1,100-250,0,0-0,0,0-0,1,500-1000,3,1000-2000
2001,0,0-0,0,0-0,0,0-0,0,0-0,1,500-1000,0,0-0,0,0-0,1,500-1000
2002,1,100-250,0,0-0,0,0-0,0,0-0,2,2000-5000,0,0-0,0,0-0,3,2000-5000
2003,0,0-0,0,0-0,0,0-0,1,100-250,0,0-0,0,0-0,0,0-0,1,100-250
2004,0,0-0,0,0-0,0,0-0,0,0-0,1,1000-2000,0,0-0,0,0-0,1,1000-2000
2005,0,0-0,0,0-0,0,0-0,0,0-0,2,100000-200000,0,0-0,0,0-0,2,100000-200000
2006,1,100-250,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,100-250
2007,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,1,5-100
2008,0,0-0,0,0-0,0,0-0,0,0-0,2,5000-10000,0,0-0,0,0-0,2,5000-10000
2009,1,100-250,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,2,100-250
2010,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
2011,1,250-500,1,250-500,0,0-0,1,100-250,1,5-100,0,0-0,0,0-0,4,500-1000
2012,0,0-0,0,0-0,0,0-0,0,0-0,1,2000-5000,0,0-0,0,0-0,1,2000-5000
2013,0,0-0,0,0-0,0,0-0,1,500-1000,0,0-0,0,0-0,0,0-0,1,500-1000
2014,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
2015,0,0-0,1,5-100,0,0-0,2,100-250,0,0-0,0,0-0,0,0-0,3,100-250
2016,0,0-0,2,10000-20000,0,0-0,2,100-250,0,0-0,0,0-0,0,0-0,4,10000-20000
2017,0,0-0,1,5-100,0,0-0,1,5-100,1,500-1000,0,0-0,0,0-0,3,500-1000
2018,0,0-0,0,0-0,0,0-0,2,100-250,0,0-0,0,0-0,0,0-0,2,100-250
2019,0,0-0,1,500-1000,0,0-0,3,250-500,1,5-100,0,0-0,0,0-0,5,1000-2000
2020,0,0-0,0,0-0,0,0-0,5,500-1000,4,20000-50000,0,0-0,0,0-0,9,20000-50000
2021,0,0-0,1,500-1000,0,0-0,1,5-100,2,50000-100000,0,0-0,1,500-1000,5,50000-100000
2022,1,5-100,0,0-0,0,0-0,3,100-250,0,0-0,0,0-0,1,5-100,5,250-500
2023,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,1,5-100
