Texas Billion-Dollar Disasters By Year (CPI-Adjusted)
Cost ranges are in millions of dollars
Year,"Drought Count","Drought Cost Range","Flooding Count","Flooding Cost Range","Freeze Count","Freeze Cost Range","Severe Storm Count","Severe Storm Cost Range","Tropical Cyclone Count","Tropical Cyclone Cost Range","Wildfire Count","Wildfire Cost Range","Winter Storm Count","Winter Storm Cost Range","All Disasters Count","All Disasters Cost Range"
1980,1,1000-2000,0,0-0,0,0-0,0,0-0,1,1000-2000,0,0-0,0,0-0,2,2000-5000
1981,0,0-0,0,0-0,0,0-0,1,1000-2000,0,0-0,0,0-0,0,0-0,1,1000-2000
1982,0,0-0,0,0-0,0,0-0,2,500-1000,0,0-0,0,0-0,1,5-100,3,500-1000
1983,0,0-0,0,0-0,1,500-1000,0,0-0,1,5000-10000,0,0-0,0,0-0,2,5000-10000
1984,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1985,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,100-250,1,100-250
1986,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1987,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1988,1,1000-2000,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,1000-2000
1989,1,1000-2000,0,0-0,0,0-0,1,500-1000,1,500-1000,0,0-0,1,500-1000,4,2000-5000
1990,0,0-0,1,1000-2000,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,1000-2000
1991,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
1992,0,0-0,0,0-0,0,0-0,3,2000-5000,0,0-0,0,0-0,0,0-0,3,2000-5000
1993,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,250-500,1,250-500
1994,0,0-0,1,2000-5000,0,0-0,1,1000-2000,0,0-0,1,250-500,1,100-250,4,2000-5000
1995,1,500-1000,0,0-0,0,0-0,2,2000-5000,0,0-0,0,0-0,0,0-0,3,5000-10000
1996,1,1000-2000,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,250-500,2,2000-5000
1997,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,1,5-100
1998,1,2000-5000,1,1000-2000,0,0-0,1,5-100,1,1000-2000,0,0-0,0,0-0,4,2000-5000
1999,0,0-0,0,0-0,0,0-0,1,100-250,0,0-0,0,0-0,1,100-250,2,250-500
2000,1,1000-2000,0,0-0,0,0-0,1,1000-2000,0,0-0,0,0-0,0,0-0,2,2000-5000
2001,0,0-0,0,0-0,0,0-0,1,100-250,1,10000-20000,0,0-0,0,0-0,2,10000-20000
2002,1,1000-2000,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,2,1000-2000
2003,0,0-0,0,0-0,0,0-0,1,2000-5000,0,0-0,0,0-0,0,0-0,1,2000-5000
2004,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
2005,0,0-0,0,0-0,0,0-0,1,500-1000,1,10000-20000,0,0-0,0,0-0,2,10000-20000
2006,1,1000-2000,0,0-0,0,0-0,1,5-100,0,0-0,1,250-500,0,0-0,3,2000-5000
2007,0,0-0,0,0-0,0,0-0,1,500-1000,0,0-0,0,0-0,0,0-0,1,500-1000
2008,1,1000-2000,0,0-0,0,0-0,2,500-1000,2,20000-50000,1,500-1000,0,0-0,6,20000-50000
2009,1,1000-2000,0,0-0,0,0-0,4,2000-5000,0,0-0,1,100-250,0,0-0,6,5000-10000
2010,0,0-0,0,0-0,0,0-0,1,100-250,0,0-0,0,0-0,0,0-0,1,100-250
2011,1,2000-5000,0,0-0,0,0-0,6,2000-5000,0,0-0,1,1000-2000,1,500-1000,9,10000-20000
2012,1,2000-5000,0,0-0,0,0-0,4,2000-5000,0,0-0,1,5-100,0,0-0,6,5000-10000
2013,1,2000-5000,0,0-0,0,0-0,3,1000-2000,0,0-0,0,0-0,0,0-0,4,2000-5000
2014,1,1000-2000,0,0-0,0,0-0,4,2000-5000,0,0-0,0,0-0,0,0-0,5,2000-5000
2015,0,0-0,1,2000-5000,0,0-0,5,2000-5000,0,0-0,1,5-100,0,0-0,7,5000-10000
2016,0,0-0,2,5000-10000,0,0-0,7,10000-20000,0,0-0,0,0-0,0,0-0,9,10000-20000
2017,0,0-0,1,100-250,0,0-0,6,5000-10000,1,100000-200000,0,0-0,0,0-0,8,100000-200000
2018,1,2000-5000,0,0-0,0,0-0,5,2000-5000,0,0-0,0,0-0,0,0-0,6,2000-5000
2019,0,0-0,1,1000-2000,0,0-0,5,2000-5000,1,5000-10000,0,0-0,0,0-0,7,10000-20000
2020,1,1000-2000,0,0-0,0,0-0,7,2000-5000,3,2000-5000,0,0-0,0,0-0,11,5000-10000
2021,0,0-0,1,500-1000,0,0-0,9,5000-10000,1,500-1000,0,0-0,1,20000-50000,12,20000-50000
2022,1,5000-10000,0,0-0,0,0-0,7,2000-5000,0,0-0,0,0-0,1,500-1000,9,5000-10000
2023,0,0-0,0,0-0,0,0-0,4,1000-2000,0,0-0,0,0-0,0,0-0,4,1000-2000
